input,decision
"Hey, parents want government job, I want tech, but I like business also. Completely lost. I am studying in SPIT Thane.",Career Guidance Needed
"Hey, i realized I don't know anything practical. Planning to join coding bootcamp or online courses full time. I am studying in MIT WPU Chennai.",Skill Development First
"Hey, my mother needs surgery and we have no savings. I was planning MPSC but now I think job first is the only option. I am studying in SPIT Nashik.",Job First (Financial Stability)
"Hey, private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in Pune University Kolhapur.",Government Exam Path
"Hey, parents want government job, I want tech, but I like business also. Completely lost. I am studying in MIT WPU Chennai.",Career Guidance Needed
"Despite financial issues, I want to pursue MCA from a reputed college because specialization will help me a lot in career. I am studying in COEP Bangalore.",Higher Studies First
"Resume is blank - no projects, no internships. I should build strong skills before thinking about placements or higher studies. I am studying in PICT Thane.",Skill Development First
"Hey, confused between job, MBA, government exams and startup. No clear direction at all. I am studying in SPIT Mumbai.",Career Guidance Needed
Family pressure is high for government job. I am focusing only on UPSC preparation now. I am studying in SPIT Thane.,Government Exam Path
"Despite financial issues, I want to pursue MCA from a reputed college because specialization will help me a lot in career. I am studying in IIT Madras Bangalore.",Higher Studies First
My parents strongly believe only government job is safe. They want me to prepare full time for SSC CGL. I am studying in Symbiosis Bangalore.,Government Exam Path
"Hey, severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in Amity Pune.",Emotional Counseling Needed
Will help in family business in morning and continue MCA in evening batch. I am studying in local college Nashik.,Balanced Job + Study Plan
I realized I don't know anything practical. Planning to join coding bootcamp or online courses full time. I am studying in COEP Aurangabad.,Skill Development First
My parents strongly believe only government job is safe. They want me to prepare full time for GRE. I am studying in Amity Nagpur.,Government Exam Path
My parents strongly believe only government job is safe. They want me to prepare full time for Railway. I am studying in Amity Hyderabad.,Government Exam Path
"Parents want government job, I want tech, but I like business also. Completely lost. I am studying in COEP Aurangabad.",Career Guidance Needed
"Hey, cleared GRE with good score and got offer from good US university for MS in CS. Even if expensive, I want to go for higher studies. I am studying in VJTI Kolhapur.",Higher Studies First
"Hey, keep changing my mind every week. Need someone experienced to show me right path. I am studying in SPIT Chennai.",Career Guidance Needed
"Heavy education loan on my father already. I can't put more burden, so I decided to focus on placements right now. I am studying in PICT Thane.",Job First (Financial Stability)
My parents strongly believe only government job is safe. They want me to prepare full time for SSC CGL. I am studying in VJTI Pune.,Government Exam Path
I realized I don't know anything practical. Planning to join coding bootcamp or online courses full time. I am studying in Symbiosis Bangalore.,Skill Development First
"Hey, i realized I don't know anything practical. Planning to join coding bootcamp or online courses full time. I am studying in local college Chennai.",Skill Development First
Family pressure is high for government job. I am focusing only on UPSC preparation now. I am studying in COEP Chennai.,Government Exam Path
"My coding skills are very poor. Failed in 7 campus interviews. I need to focus only on DSA, projects and internships for next 6-8 months. I am studying in PICT Bangalore.",Skill Development First
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in Pune University Mumbai.",Emotional Counseling Needed
"Hey, private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in Amity Delhi.",Government Exam Path
"Hey, planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in Symbiosis Aurangabad.",Balanced Job + Study Plan
Got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in SPIT Nagpur.,Balanced Job + Study Plan
"Hey, my parents strongly believe only government job is safe. They want me to prepare full time for SSC CGL. I am studying in COEP Aurangabad.",Government Exam Path
My parents strongly believe only government job is safe. They want me to prepare full time for GATE. I am studying in IIT Bombay Pune.,Government Exam Path
My parents strongly believe only government job is safe. They want me to prepare full time for CAT.,Government Exam Path
"Hey, after dad's sudden death, all responsibility came on me. Higher studies feel like a luxury I can't afford anymore.",Job First (Financial Stability)
Too many options and I don't know what suits my interest and skills. Need proper guidance. I am studying in Amity Mumbai.,Career Guidance Needed
"Hey, got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in PICT Nashik.",Balanced Job + Study Plan
"After dad's sudden death, all responsibility came on me. Higher studies feel like a luxury I can't afford anymore. I am studying in Amity Delhi.",Job First (Financial Stability)
"Parents want government job, I want tech, but I like business also. Completely lost. I am studying in PICT Chennai.",Career Guidance Needed
Private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in COEP Aurangabad.,Government Exam Path
"My coding skills are very poor. Failed in 7 campus interviews. I need to focus only on DSA, projects and internships for next 6-8 months. I am studying in VJTI Nashik.",Skill Development First
Too many options and I don't know what suits my interest and skills. Need proper guidance. I am studying in Symbiosis Aurangabad.,Career Guidance Needed
"Hey, my parents strongly believe only government job is safe. They want me to prepare full time for GATE. I am studying in COEP Nashik.",Government Exam Path
"Hey, my parents strongly believe only government job is safe. They want me to prepare full time for UPSC. I am studying in COEP Delhi.",Government Exam Path
Constant family pressure + studies ne mera burnout kar diya hai. I need someone to talk to. I am studying in PICT Delhi.,Emotional Counseling Needed
My mother needs surgery and we have no savings. I was planning MPSC but now I think job first is the only option. I am studying in local college Kolhapur.,Job First (Financial Stability)
"After dad's sudden death, all responsibility came on me. Higher studies feel like a luxury I can't afford anymore. I am studying in IIT Bombay Mumbai.",Job First (Financial Stability)
I have already cleared prelims of MPSC once. Now I am fully dedicated towards government exams for stability and respect. I am studying in IIT Madras Bangalore.,Government Exam Path
"After dad's sudden death, all responsibility came on me. Higher studies feel like a luxury I can't afford anymore. I am studying in IIT Bombay Nagpur.",Job First (Financial Stability)
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in SPIT Nagpur.",Emotional Counseling Needed
"Hey, my father got laid off last month from his company in Kolhapur. With hospital bills and EMIs pending, I have to take a job immediately instead of thinking about MBA or MS. I am studying in Amity Kolhapur.",Job First (Financial Stability)
Private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in MIT WPU Mumbai.,Government Exam Path
Constant family pressure + studies ne mera burnout kar diya hai. I need someone to talk to. I am studying in PICT Nagpur.,Emotional Counseling Needed
"Hey, i love research and want to do MTech from IIT Bombay. Ready to take education loan if needed because long term growth matters more. I am studying in VJTI Nagpur.",Higher Studies First
Breakup ke baad main completely broken hoon. Can't focus on studies or placements. Need emotional support. I am studying in Symbiosis Mumbai.,Emotional Counseling Needed
My mother needs surgery and we have no savings. I was planning SSC CGL but now I think job first is the only option. I am studying in IIT Bombay Kolhapur.,Job First (Financial Stability)
I love research and want to do MTech from IIT Bombay. Ready to take education loan if needed because long term growth matters more. I am studying in Amity Pune.,Higher Studies First
"Hey, i realized I don't know anything practical. Planning to join coding bootcamp or online courses full time. I am studying in IIT Bombay Bangalore.",Skill Development First
"Hey, got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in PICT Nagpur.",Balanced Job + Study Plan
Breakup ke baad main completely broken hoon. Can't focus on studies or placements. Need emotional support. I am studying in Pune University Delhi.,Emotional Counseling Needed
"Hey, resume is blank - no projects, no internships. I should build strong skills before thinking about placements or higher studies. I am studying in PICT Hyderabad.",Skill Development First
My mother needs surgery and we have no savings. I was planning CAT but now I think job first is the only option. I am studying in local college Mumbai.,Job First (Financial Stability)
I got admission in MBA at IIM Kozhikode but family is worried about money. Still I believe this is the best investment for my future. I am studying in Pune University Pune.,Higher Studies First
"Hey, after my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in IIT Madras Pune.",Emotional Counseling Needed
"Heavy education loan on my father already. I can't put more burden, so I decided to focus on placements right now. I am studying in Pune University Thane.",Job First (Financial Stability)
Planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in local college Thane.,Balanced Job + Study Plan
"Hey, keep changing my mind every week. Need someone experienced to show me right path. I am studying in MIT WPU Nashik.",Career Guidance Needed
"My coding skills are very poor. Failed in 7 campus interviews. I need to focus only on DSA, projects and internships for next 6-8 months. I am studying in Amity Thane.",Skill Development First
Private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in Pune University Bangalore.,Government Exam Path
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in SPIT Delhi.",Emotional Counseling Needed
Will help in family business in morning and continue MCA in evening batch. I am studying in Amity Hyderabad.,Balanced Job + Study Plan
"Despite financial issues, I want to pursue MCA from a reputed college because specialization will help me a lot in career. I am studying in Pune University Pune.",Higher Studies First
"Hey, despite financial issues, I want to pursue MCA from a reputed college because specialization will help me a lot in career. I am studying in MIT WPU Pune.",Higher Studies First
"Hey, planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in local college Thane.",Balanced Job + Study Plan
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in SPIT Bangalore.",Emotional Counseling Needed
Family pressure is high for government job. I am focusing only on UPSC preparation now. I am studying in IIT Madras Kolhapur.,Government Exam Path
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in MIT WPU Hyderabad.",Emotional Counseling Needed
Communication and confidence bahut low hai. First I need to improve soft skills and get practical experience. I am studying in VJTI Nagpur.,Skill Development First
"Hey, constant family pressure + studies ne mera burnout kar diya hai. I need someone to talk to. I am studying in COEP Pune.",Emotional Counseling Needed
Planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in PICT Nashik.,Balanced Job + Study Plan
"Hey, severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in COEP Pune.",Emotional Counseling Needed
"Family business completely collapsed after pandemic. As the only son, I feel huge pressure to start earning rather than pursuing higher studies. I am studying in local college Kolhapur.",Job First (Financial Stability)
"Hey, my parents strongly believe only government job is safe. They want me to prepare full time for GRE. I am studying in IIT Madras Pune.",Government Exam Path
Planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in VJTI Thane.,Balanced Job + Study Plan
Got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in IIT Madras Chennai.,Balanced Job + Study Plan
"Hey, keep changing my mind every week. Need someone experienced to show me right path. I am studying in Symbiosis Nashik.",Career Guidance Needed
"Hey, confused between job, MBA, government exams and startup. No clear direction at all. I am studying in COEP Aurangabad.",Career Guidance Needed
"Confused between job, MBA, government exams and startup. No clear direction at all. I am studying in VJTI Nagpur.",Career Guidance Needed
Will help in family business in morning and continue MCA in evening batch. I am studying in local college Thane.,Balanced Job + Study Plan
Got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in PICT Bangalore.,Balanced Job + Study Plan
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in COEP Hyderabad.",Emotional Counseling Needed
Private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in local college Hyderabad.,Government Exam Path
"Parents want government job, I want tech, but I like business also. Completely lost. I am studying in local college Nagpur.",Career Guidance Needed
"After dad's sudden death, all responsibility came on me. Higher studies feel like a luxury I can't afford anymore. I am studying in IIT Madras Chennai.",Job First (Financial Stability)
Communication and confidence bahut low hai. First I need to improve soft skills and get practical experience. I am studying in Pune University Aurangabad.,Skill Development First
Planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in IIT Madras Chennai.,Balanced Job + Study Plan
Have a part-time job and will prepare for government exams simultaneously. I am studying in COEP Nagpur.,Balanced Job + Study Plan
I love research and want to do MTech from IIT Bombay. Ready to take education loan if needed because long term growth matters more. I am studying in local college Delhi.,Higher Studies First
My mother needs surgery and we have no savings. I was planning UPSC but now I think job first is the only option. I am studying in Symbiosis Thane.,Job First (Financial Stability)
"Hey, cleared GRE with good score and got offer from good US university for MS in CS. Even if expensive, I want to go for higher studies. I am studying in PICT Delhi.",Higher Studies First
I got admission in MBA at IIM Ahmedabad but family is worried about money. Still I believe this is the best investment for my future. I am studying in Symbiosis Pune.,Higher Studies First
Will help in family business in morning and continue MCA in evening batch. I am studying in PICT Delhi.,Balanced Job + Study Plan
"Hey, i have already cleared prelims of MPSC once. Now I am fully dedicated towards government exams for stability and respect. I am studying in Pune University Mumbai.",Government Exam Path
"Hey, my parents strongly believe only government job is safe. They want me to prepare full time for Railway. I am studying in Amity Aurangabad.",Government Exam Path
My mother needs surgery and we have no savings. I was planning GATE but now I think job first is the only option. I am studying in IIT Bombay Nashik.,Job First (Financial Stability)
Communication and confidence bahut low hai. First I need to improve soft skills and get practical experience. I am studying in Symbiosis Kolhapur.,Skill Development First
Constant family pressure + studies ne mera burnout kar diya hai. I need someone to talk to. I am studying in Amity Mumbai.,Emotional Counseling Needed
"Family business completely collapsed after pandemic. As the only son, I feel huge pressure to start earning rather than pursuing higher studies. I am studying in Pune University Chennai.",Job First (Financial Stability)
"Hey, i have already cleared prelims of MPSC once. Now I am fully dedicated towards government exams for stability and respect. I am studying in SPIT Aurangabad.",Government Exam Path
Have a part-time job and will prepare for government exams simultaneously. I am studying in Symbiosis Thane.,Balanced Job + Study Plan
"Hey, heavy education loan on my father already. I can't put more burden, so I decided to focus on placements right now. I am studying in Pune University Chennai.",Job First (Financial Stability)
"Hey, parents want government job, I want tech, but I like business also. Completely lost. I am studying in SPIT Pune.",Career Guidance Needed
"Hey, i love research and want to do MTech from IIT Bombay. Ready to take education loan if needed because long term growth matters more. I am studying in MIT WPU Hyderabad.",Higher Studies First
Family pressure is high for government job. I am focusing only on UPSC preparation now. I am studying in Pune University Nagpur.,Government Exam Path
"Heavy education loan on my father already. I can't put more burden, so I decided to focus on placements right now. I am studying in Symbiosis Chennai.",Job First (Financial Stability)
"Hey, keep changing my mind every week. Need someone experienced to show me right path. I am studying in Symbiosis Thane.",Career Guidance Needed
"Severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in IIT Madras Nagpur.",Emotional Counseling Needed
My parents strongly believe only government job is safe. They want me to prepare full time for GATE. I am studying in PICT Hyderabad.,Government Exam Path
"Family business completely collapsed after pandemic. As the only son, I feel huge pressure to start earning rather than pursuing higher studies. I am studying in MIT WPU Nagpur.",Job First (Financial Stability)
"Hey, parents want government job, I want tech, but I like business also. Completely lost. I am studying in Symbiosis Thane.",Career Guidance Needed
Too many options and I don't know what suits my interest and skills. Need proper guidance. I am studying in Amity Aurangabad.,Career Guidance Needed
"Hey, i got admission in MBA at IIM Bangalore but family is worried about money. Still I believe this is the best investment for my future. I am studying in PICT Nashik.",Higher Studies First
Got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in Amity Bangalore.,Balanced Job + Study Plan
"Confused between job, MBA, government exams and startup. No clear direction at all. I am studying in Pune University Bangalore.",Career Guidance Needed
"Hey, my coding skills are very poor. Failed in 7 campus interviews. I need to focus only on DSA, projects and internships for next 6-8 months. I am studying in VJTI Nashik.",Skill Development First
"My coding skills are very poor. Failed in 7 campus interviews. I need to focus only on DSA, projects and internships for next 6-8 months. I am studying in VJTI Hyderabad.",Skill Development First
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in IIT Madras Kolhapur.",Emotional Counseling Needed
"Despite financial issues, I want to pursue MCA from a reputed college because specialization will help me a lot in career. I am studying in Pune University Aurangabad.",Higher Studies First
Private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in PICT Chennai.,Government Exam Path
"Hey, after my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in local college Kolhapur.",Emotional Counseling Needed
"Hey, too many options and I don't know what suits my interest and skills. Need proper guidance. I am studying in IIT Madras Mumbai.",Career Guidance Needed
"Severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in PICT Delhi.",Emotional Counseling Needed
"Hey, family pressure is high for government job. I am focusing only on UPSC preparation now. I am studying in COEP Aurangabad.",Government Exam Path
"Hey, too many options and I don't know what suits my interest and skills. Need proper guidance. I am studying in Amity Pune.",Career Guidance Needed
"Hey, after my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in COEP Nagpur.",Emotional Counseling Needed
"Severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in PICT Nagpur.",Emotional Counseling Needed
"Hey, resume is blank - no projects, no internships. I should build strong skills before thinking about placements or higher studies. I am studying in Amity Bangalore.",Skill Development First
"Hey, severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in local college Nashik.",Emotional Counseling Needed
"Hey, i realized I don't know anything practical. Planning to join coding bootcamp or online courses full time. I am studying in Amity Pune.",Skill Development First
My parents strongly believe only government job is safe. They want me to prepare full time for Railway. I am studying in SPIT Delhi.,Government Exam Path
"Hey, keep changing my mind every week. Need someone experienced to show me right path. I am studying in IIT Bombay Aurangabad.",Career Guidance Needed
Have a part-time job and will prepare for government exams simultaneously. I am studying in local college Kolhapur.,Balanced Job + Study Plan
Communication and confidence bahut low hai. First I need to improve soft skills and get practical experience. I am studying in local college Nashik.,Skill Development First
Constant family pressure + studies ne mera burnout kar diya hai. I need someone to talk to. I am studying in MIT WPU Nagpur.,Emotional Counseling Needed
"Parents want government job, I want tech, but I like business also. Completely lost. I am studying in MIT WPU Kolhapur.",Career Guidance Needed
"Hey, confused between job, MBA, government exams and startup. No clear direction at all. I am studying in VJTI Delhi.",Career Guidance Needed
"Cleared GRE with good score and got offer from good US university for MS in CS. Even if expensive, I want to go for higher studies. I am studying in VJTI Nashik.",Higher Studies First
Private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in VJTI Aurangabad.,Government Exam Path
"Hey, got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in VJTI Delhi.",Balanced Job + Study Plan
"After dad's sudden death, all responsibility came on me. Higher studies feel like a luxury I can't afford anymore. I am studying in Amity Nashik.",Job First (Financial Stability)
Planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in SPIT Kolhapur.,Balanced Job + Study Plan
"Hey, i have already cleared prelims of MPSC once. Now I am fully dedicated towards government exams for stability and respect. I am studying in MIT WPU Aurangabad.",Government Exam Path
Private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in IIT Bombay Pune.,Government Exam Path
Planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in Pune University Aurangabad.,Balanced Job + Study Plan
"Hey, i have already cleared prelims of MPSC once. Now I am fully dedicated towards government exams for stability and respect. I am studying in Amity Pune.",Government Exam Path
Constant family pressure + studies ne mera burnout kar diya hai. I need someone to talk to. I am studying in COEP Nashik.,Emotional Counseling Needed
"My father got laid off last month from his company in Aurangabad. With hospital bills and EMIs pending, I have to take a job immediately instead of thinking about MBA or MS. I am studying in VJTI Aurangabad.",Job First (Financial Stability)
Will help in family business in morning and continue MCA in evening batch. I am studying in IIT Madras Pune.,Balanced Job + Study Plan
"Hey, communication and confidence bahut low hai. First I need to improve soft skills and get practical experience. I am studying in PICT Thane.",Skill Development First
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in IIT Madras Nagpur.",Emotional Counseling Needed
"Hey, got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in Amity Hyderabad.",Balanced Job + Study Plan
"Hey, cleared GRE with good score and got offer from good US university for MS in CS. Even if expensive, I want to go for higher studies. I am studying in COEP Nashik.",Higher Studies First
"Hey, private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in local college Hyderabad.",Government Exam Path
My mother needs surgery and we have no savings. I was planning UPSC but now I think job first is the only option. I am studying in Symbiosis Nagpur.,Job First (Financial Stability)
"Severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in VJTI Kolhapur.",Emotional Counseling Needed
My parents strongly believe only government job is safe. They want me to prepare full time for GRE. I am studying in Symbiosis Chennai.,Government Exam Path
"Hey, communication and confidence bahut low hai. First I need to improve soft skills and get practical experience. I am studying in IIT Bombay Aurangabad.",Skill Development First
Constant family pressure + studies ne mera burnout kar diya hai. I need someone to talk to. I am studying in COEP Delhi.,Emotional Counseling Needed
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in Symbiosis Aurangabad.",Emotional Counseling Needed
Breakup ke baad main completely broken hoon. Can't focus on studies or placements. Need emotional support. I am studying in Symbiosis Kolhapur.,Emotional Counseling Needed
"Hey, despite financial issues, I want to pursue MCA from a reputed college because specialization will help me a lot in career. I am studying in local college Nashik.",Higher Studies First
"Hey, family pressure is high for government job. I am focusing only on UPSC preparation now. I am studying in IIT Madras Nagpur.",Government Exam Path
"Hey, parents want government job, I want tech, but I like business also. Completely lost. I am studying in IIT Bombay Mumbai.",Career Guidance Needed
"Hey, my parents strongly believe only government job is safe. They want me to prepare full time for SSC CGL. I am studying in VJTI Bangalore.",Government Exam Path
"Confused between job, MBA, government exams and startup. No clear direction at all. I am studying in IIT Madras Chennai.",Career Guidance Needed
"Cleared GRE with good score and got offer from good US university for MS in CS. Even if expensive, I want to go for higher studies. I am studying in COEP Kolhapur.",Higher Studies First
I realized I don't know anything practical. Planning to join coding bootcamp or online courses full time. I am studying in Symbiosis Thane.,Skill Development First
"Severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in MIT WPU Nashik.",Emotional Counseling Needed
"Hey, i got admission in MBA at IIM Ahmedabad but family is worried about money. Still I believe this is the best investment for my future. I am studying in PICT Pune.",Higher Studies First
"Hey, despite financial issues, I want to pursue MCA from a reputed college because specialization will help me a lot in career. I am studying in IIT Bombay Kolhapur.",Higher Studies First
Keep changing my mind every week. Need someone experienced to show me right path. I am studying in PICT Hyderabad.,Career Guidance Needed
"Hey, resume is blank - no projects, no internships. I should build strong skills before thinking about placements or higher studies. I am studying in COEP Nagpur.",Skill Development First
Too many options and I don't know what suits my interest and skills. Need proper guidance. I am studying in local college Mumbai.,Career Guidance Needed
"Hey, private jobs feel risky and unstable. That's why I am preparing for SSC CGL and banking exams. I am studying in Pune University Thane.",Government Exam Path
"Hey, cleared GRE with good score and got offer from good US university for MS in CS. Even if expensive, I want to go for higher studies. I am studying in Pune University Nashik.",Higher Studies First
"Despite financial issues, I want to pursue MCA from a reputed college because specialization will help me a lot in career. I am studying in COEP Nagpur.",Higher Studies First
Will help in family business in morning and continue MCA in evening batch. I am studying in COEP Thane.,Balanced Job + Study Plan
"Confused between job, MBA, government exams and startup. No clear direction at all. I am studying in Amity Thane.",Career Guidance Needed
"Despite financial issues, I want to pursue MCA from a reputed college because specialization will help me a lot in career. I am studying in Symbiosis Delhi.",Higher Studies First
"Severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in local college Chennai.",Emotional Counseling Needed
Keep changing my mind every week. Need someone experienced to show me right path. I am studying in IIT Madras Hyderabad.,Career Guidance Needed
Planning to work for 1-2 years and then do MBA so I can have both experience and better qualification. I am studying in PICT Thane.,Balanced Job + Study Plan
Have a part-time job and will prepare for government exams simultaneously. I am studying in Pune University Bangalore.,Balanced Job + Study Plan
"After my mother's death last month, nothing feels important. Career decisions have become impossible. I am studying in IIT Madras Nashik.",Emotional Counseling Needed
Will help in family business in morning and continue MCA in evening batch. I am studying in SPIT Delhi.,Balanced Job + Study Plan
"Hey, communication and confidence bahut low hai. First I need to improve soft skills and get practical experience. I am studying in COEP Nagpur.",Skill Development First
"Hey, my parents strongly believe only government job is safe. They want me to prepare full time for Banking PO. I am studying in VJTI Mumbai.",Government Exam Path
"Severe anxiety and overthinking about future. Can't sleep, can't study. I think I need counseling first. I am studying in Pune University Nashik.",Emotional Counseling Needed
"Hey, family pressure is high for government job. I am focusing only on UPSC preparation now. I am studying in COEP Nashik.",Government Exam Path
"After dad's sudden death, all responsibility came on me. Higher studies feel like a luxury I can't afford anymore. I am studying in Pune University Bangalore.",Job First (Financial Stability)
"My father got laid off last month from his company in Hyderabad. With hospital bills and EMIs pending, I have to take a job immediately instead of thinking about MBA or MS. I am studying in Symbiosis Hyderabad.",Job First (Financial Stability)
"Hey, got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in Amity Pune.",Balanced Job + Study Plan
Got offer from TCS but I also want to prepare for CAT. Will join job and study side by side. I am studying in IIT Bombay Bangalore.,Balanced Job + Study Plan
"Hey, my parents strongly believe only government job is safe. They want me to prepare full time for CAT.",Government Exam Path
My parents strongly believe only government job is safe. They want me to prepare full time for SSC CGL. I am studying in IIT Bombay Nagpur.,Government Exam Path
I love research and want to do MTech from IIT Bombay. Ready to take education loan if needed because long term growth matters more. I am studying in Amity Aurangabad.,Higher Studies First
I love research and want to do MTech from IIT Bombay. Ready to take education loan if needed because long term growth matters more. I am studying in Symbiosis Bangalore.,Higher Studies First
I love research and want to do MTech from IIT Bombay. Ready to take education loan if needed because long term growth matters more. I am studying in MIT WPU Hyderabad.,Higher Studies First
"Hey, too many options and I don't know what suits my interest and skills. Need proper guidance. I am studying in Amity Kolhapur.",Career Guidance Needed
"Hey, my parents strongly believe only government job is safe. They want me to prepare full time for GRE. I am studying in Amity Delhi.",Government Exam Path
"Hey, constant family pressure + studies ne mera burnout kar diya hai. I need someone to talk to. I am studying in PICT Kolhapur.",Emotional Counseling Needed
I have already cleared prelims of MPSC once. Now I am fully dedicated towards government exams for stability and respect. I am studying in Pune University Chennai.,Government Exam Path
"My father got laid off last month from his company in Pune. With hospital bills and EMIs pending, I have to take a job immediately instead of thinking about MBA or MS. I am studying in Amity Pune.",Job First (Financial Stability)
"Heavy education loan on my father already. I can't put more burden, so I decided to focus on placements right now. I am studying in Amity Nagpur.",Job First (Financial Stability)
