input,decision
"my parents are struggling with monthly expenses. I do not want to give up studies forever. Some people suggest taking a job first. I want practical advice, not just motivation.",Job First (Financial Stability)
medical expenses are increasing at home. I am also thinking about CAT preparation. I want both stability and long-term growth. This affects both my confidence and future planning.,Job First (Financial Stability)
"I recently went through a breakup. because of this I cannot decide my career clearly. I want both stability and long-term growth. I want practical advice, not just motivation.",Emotional Counseling Needed
I do not know what I should do in life. government exams also seem attractive. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Career Guidance Needed
government job security matters to my family. some people suggest private placements first. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Government Exam Path
my father lost his job recently. part of me wants to continue education. I feel stuck between responsibility and ambition. This situation is creating a lot of pressure for me.,Job First (Financial Stability)
I am considering SSC preparation seriously. I feel pressure choosing stability over speed. Some people suggest taking a job first. This affects both my confidence and future planning.,Government Exam Path
there is heavy loan pressure at home. I also want to pursue MBA later. Some people suggest taking a job first. I do not want to regret my decision later.,Job First (Financial Stability)
"I need both income and higher studies. choosing only one path feels risky. Some people suggest taking a job first. I want practical advice, not just motivation.",Balanced Job + Study Plan
my coding skills are weak for placements. I feel pressure seeing others move faster. Part of me thinks studies should remain the priority. This situation is creating a lot of pressure for me.,Skill Development First
"I feel lost about my next step. sometimes I feel higher studies may help. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Career Guidance Needed
I am preparing for banking exams. I am confused between placement and preparation. I want both stability and long-term growth. I do not want to regret my decision later.,Government Exam Path
"I am planning for MTech after graduation. I worry about delaying income. Family expectations make the decision harder. I want practical advice, not just motivation.",Higher Studies First
my parents are struggling with monthly expenses. I also want to pursue MBA later. Part of me thinks studies should remain the priority. I do not want to regret my decision later.,Job First (Financial Stability)
I lack confidence during interviews. I worry I am falling behind. I want both stability and long-term growth. This affects both my confidence and future planning.,Skill Development First
I do not know what I should do in life. sometimes I think job is better. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Career Guidance Needed
my parents are struggling with monthly expenses. part of me wants to continue education. I want both stability and long-term growth. I keep overthinking this every day.,Job First (Financial Stability)
my communication skills need improvement. I also think immediate income may be necessary. I feel stuck between responsibility and ambition. I keep overthinking this every day.,Skill Development First
I want to study abroad for masters. I worry about delaying income. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Higher Studies First
I recently went through a breakup. I feel my confidence is broken. I feel stuck between responsibility and ambition. I keep overthinking this every day.,Emotional Counseling Needed
I recently went through a breakup. I cannot think properly about my future. I feel stuck between responsibility and ambition. This situation is creating a lot of pressure for me.,Emotional Counseling Needed
"I want strong long-term academic growth. my parents want quick financial stability. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Higher Studies First
there is heavy loan pressure at home. I also want to pursue MBA later. Some people suggest taking a job first. This situation is creating a lot of pressure for me.,Job First (Financial Stability)
I want a secure government career. I feel pressure choosing stability over speed. Family expectations make the decision harder. I keep overthinking this every day.,Government Exam Path
I believe higher education will improve my future. I feel guilty not earning immediately. Family expectations make the decision harder. This situation is creating a lot of pressure for me.,Higher Studies First
I want to work and prepare for CAT together. family responsibilities and future growth both matter. Part of me thinks studies should remain the priority. This affects both my confidence and future planning.,Balanced Job + Study Plan
I feel confused between multiple options. government exams also seem attractive. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Career Guidance Needed
I recently went through a breakup. because of this I cannot decide my career clearly. I feel stuck between responsibility and ambition. This situation is creating a lot of pressure for me.,Emotional Counseling Needed
I have no clear direction for my future. sometimes I feel higher studies may help. I want both stability and long-term growth. This affects both my confidence and future planning.,Career Guidance Needed
my coding skills are weak for placements. my friends are already getting placed. Family expectations make the decision harder. I do not want to regret my decision later.,Skill Development First
I do not know what I should do in life. government exams also seem attractive. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Career Guidance Needed
I do not know what I should do in life. I am scared of choosing the wrong path. I feel stuck between responsibility and ambition. This affects both my confidence and future planning.,Career Guidance Needed
everyone gives me different career advice. I am scared of choosing the wrong path. I feel stuck between responsibility and ambition. I keep overthinking this every day.,Career Guidance Needed
everyone gives me different career advice. sometimes I feel higher studies may help. I feel stuck between responsibility and ambition. I keep overthinking this every day.,Career Guidance Needed
I recently went through a breakup. career decisions feel impossible right now. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Emotional Counseling Needed
"I feel burnt out and emotionally drained. because of this I cannot decide my career clearly. Part of me thinks studies should remain the priority. I want practical advice, not just motivation.",Emotional Counseling Needed
"I am preparing for banking exams. I am confused between placement and preparation. Family expectations make the decision harder. I want practical advice, not just motivation.",Government Exam Path
I feel mentally exhausted every day. I cannot think properly about my future. Part of me thinks studies should remain the priority. This affects both my confidence and future planning.,Emotional Counseling Needed
my parents are struggling with monthly expenses. I also want to pursue MBA later. Part of me thinks studies should remain the priority. This situation is creating a lot of pressure for me.,Job First (Financial Stability)
medical expenses are increasing at home. I do not want to give up studies forever. Some people suggest taking a job first. I keep overthinking this every day.,Job First (Financial Stability)
I need both income and higher studies. choosing only one path feels risky. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Balanced Job + Study Plan
everyone gives me different career advice. government exams also seem attractive. Part of me thinks studies should remain the priority. I do not want to regret my decision later.,Career Guidance Needed
I believe higher education will improve my future. there is some financial pressure at home. Family expectations make the decision harder. I keep overthinking this every day.,Higher Studies First
I cannot focus because of emotional stress. I cannot think properly about my future. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Emotional Counseling Needed
I do not know what I should do in life. I keep changing my decision every week. I want both stability and long-term growth. I keep overthinking this every day.,Career Guidance Needed
I cannot focus because of emotional stress. career decisions feel impossible right now. Some people suggest taking a job first. This affects both my confidence and future planning.,Emotional Counseling Needed
there is heavy loan pressure at home. I was planning for higher studies. Some people suggest taking a job first. I keep overthinking this every day.,Job First (Financial Stability)
I am considering SSC preparation seriously. I feel pressure choosing stability over speed. I want both stability and long-term growth. This affects both my confidence and future planning.,Government Exam Path
I lack confidence during interviews. I also think immediate income may be necessary. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Skill Development First
I want to pursue MBA for better career growth. I feel guilty not earning immediately. I feel stuck between responsibility and ambition. This situation is creating a lot of pressure for me.,Higher Studies First
my family depends on me financially. I do not want to give up studies forever. Part of me thinks studies should remain the priority. I do not want to regret my decision later.,Job First (Financial Stability)
I need both income and higher studies. family responsibilities and future growth both matter. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Balanced Job + Study Plan
my parents want me to prepare for UPSC. I feel pressure choosing stability over speed. Some people suggest taking a job first. This affects both my confidence and future planning.,Government Exam Path
I am considering SSC preparation seriously. I am confused between placement and preparation. Part of me thinks studies should remain the priority. This affects both my confidence and future planning.,Government Exam Path
my family depends on me financially. part of me wants to continue education. Part of me thinks studies should remain the priority. This situation is creating a lot of pressure for me.,Job First (Financial Stability)
there is heavy loan pressure at home. part of me wants to continue education. I feel stuck between responsibility and ambition. I keep overthinking this every day.,Job First (Financial Stability)
I have no clear direction for my future. sometimes I feel higher studies may help. I want both stability and long-term growth. I keep overthinking this every day.,Career Guidance Needed
I feel confused between multiple options. sometimes I feel higher studies may help. Part of me thinks studies should remain the priority. I do not want to regret my decision later.,Career Guidance Needed
I want strong long-term academic growth. but my family also expects me to start earning. I want both stability and long-term growth. I keep overthinking this every day.,Higher Studies First
my father lost his job recently. part of me wants to continue education. I want both stability and long-term growth. I do not want to regret my decision later.,Job First (Financial Stability)
my family depends on me financially. part of me wants to continue education. Part of me thinks studies should remain the priority. This affects both my confidence and future planning.,Job First (Financial Stability)
I want strong long-term academic growth. my parents want quick financial stability. I feel stuck between responsibility and ambition. I keep overthinking this every day.,Higher Studies First
I am preparing for banking exams. but private jobs are also available now. Family expectations make the decision harder. I keep overthinking this every day.,Government Exam Path
"I want to study abroad for masters. but my family also expects me to start earning. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Higher Studies First
I want both earning and learning together. I want practical long-term balance. Some people suggest taking a job first. I keep overthinking this every day.,Balanced Job + Study Plan
"I want strong long-term academic growth. I worry about delaying income. Some people suggest taking a job first. I want practical advice, not just motivation.",Higher Studies First
everyone gives me different career advice. I am scared of choosing the wrong path. Family expectations make the decision harder. This affects both my confidence and future planning.,Career Guidance Needed
I want strong long-term academic growth. I worry about delaying income. Some people suggest taking a job first. This situation is creating a lot of pressure for me.,Higher Studies First
I feel mentally exhausted every day. placements and studies both feel overwhelming. I want both stability and long-term growth. I do not want to regret my decision later.,Emotional Counseling Needed
my communication skills need improvement. I worry I am falling behind. Part of me thinks studies should remain the priority. This situation is creating a lot of pressure for me.,Skill Development First
I want to study abroad for masters. there is some financial pressure at home. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Higher Studies First
"I cannot focus because of emotional stress. I feel my confidence is broken. Some people suggest taking a job first. I want practical advice, not just motivation.",Emotional Counseling Needed
"I do not know what I should do in life. I am scared of choosing the wrong path. Some people suggest taking a job first. I want practical advice, not just motivation.",Career Guidance Needed
government job security matters to my family. I feel pressure choosing stability over speed. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Government Exam Path
I want strong long-term academic growth. I feel guilty not earning immediately. I feel stuck between responsibility and ambition. This affects both my confidence and future planning.,Higher Studies First
I want strong long-term academic growth. there is some financial pressure at home. I feel stuck between responsibility and ambition. This affects both my confidence and future planning.,Higher Studies First
I want part-time studies with a job. choosing only one path feels risky. Family expectations make the decision harder. I keep overthinking this every day.,Balanced Job + Study Plan
my communication skills need improvement. I worry I am falling behind. Part of me thinks studies should remain the priority. I do not want to regret my decision later.,Skill Development First
I believe higher education will improve my future. I feel guilty not earning immediately. Part of me thinks studies should remain the priority. This affects both my confidence and future planning.,Higher Studies First
"there is heavy loan pressure at home. part of me wants to continue education. Family expectations make the decision harder. I want practical advice, not just motivation.",Job First (Financial Stability)
"my coding skills are weak for placements. my friends are already getting placed. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Skill Development First
"my family depends on me financially. I am also thinking about CAT preparation. Some people suggest taking a job first. I want practical advice, not just motivation.",Job First (Financial Stability)
there is heavy loan pressure at home. I was planning for higher studies. Some people suggest taking a job first. I do not want to regret my decision later.,Job First (Financial Stability)
everyone gives me different career advice. government exams also seem attractive. Family expectations make the decision harder. This situation is creating a lot of pressure for me.,Career Guidance Needed
I want both earning and learning together. choosing only one path feels risky. Family expectations make the decision harder. This affects both my confidence and future planning.,Balanced Job + Study Plan
I need both income and higher studies. I do not want to regret leaving either option. Part of me thinks studies should remain the priority. This affects both my confidence and future planning.,Balanced Job + Study Plan
I feel lost about my next step. government exams also seem attractive. Part of me thinks studies should remain the priority. This affects both my confidence and future planning.,Career Guidance Needed
I feel confused between multiple options. I am scared of choosing the wrong path. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Career Guidance Needed
I want strong long-term academic growth. I worry about delaying income. Some people suggest taking a job first. I do not want to regret my decision later.,Higher Studies First
"medical expenses are increasing at home. I am also thinking about CAT preparation. Family expectations make the decision harder. I want practical advice, not just motivation.",Job First (Financial Stability)
I want a secure government career. I am confused between placement and preparation. Family expectations make the decision harder. This affects both my confidence and future planning.,Government Exam Path
I feel lost about my next step. I am scared of choosing the wrong path. I feel stuck between responsibility and ambition. This situation is creating a lot of pressure for me.,Career Guidance Needed
I need both income and higher studies. I want practical long-term balance. I feel stuck between responsibility and ambition. I do not want to regret my decision later.,Balanced Job + Study Plan
I lack confidence during interviews. but my family wants me to get a job quickly. I want both stability and long-term growth. I do not want to regret my decision later.,Skill Development First
I feel mentally exhausted every day. I cannot think properly about my future. Family expectations make the decision harder. This affects both my confidence and future planning.,Emotional Counseling Needed
I recently went through a breakup. career decisions feel impossible right now. I want both stability and long-term growth. I keep overthinking this every day.,Emotional Counseling Needed
I want part-time studies with a job. family responsibilities and future growth both matter. Part of me thinks studies should remain the priority. I do not want to regret my decision later.,Balanced Job + Study Plan
I believe higher education will improve my future. my parents want quick financial stability. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Higher Studies First
I am preparing for banking exams. some people suggest private placements first. I feel stuck between responsibility and ambition. This affects both my confidence and future planning.,Government Exam Path
there is heavy loan pressure at home. I do not want to give up studies forever. Family expectations make the decision harder. I do not want to regret my decision later.,Job First (Financial Stability)
my parents are struggling with monthly expenses. I also want to pursue MBA later. Some people suggest taking a job first. This affects both my confidence and future planning.,Job First (Financial Stability)
I want financial stability without giving up education. I think both goals are equally important. I want both stability and long-term growth. I keep overthinking this every day.,Balanced Job + Study Plan
I want both earning and learning together. choosing only one path feels risky. Some people suggest taking a job first. This situation is creating a lot of pressure for me.,Balanced Job + Study Plan
I am planning for MTech after graduation. I feel guilty not earning immediately. I want both stability and long-term growth. This affects both my confidence and future planning.,Higher Studies First
"anxiety is affecting my studies badly. because of this I cannot decide my career clearly. Family expectations make the decision harder. I want practical advice, not just motivation.",Emotional Counseling Needed
my parents want me to prepare for UPSC. I wonder if private jobs are a better short-term option. Some people suggest taking a job first. This affects both my confidence and future planning.,Government Exam Path
"my parents are struggling with monthly expenses. I was planning for higher studies. Family expectations make the decision harder. I want practical advice, not just motivation.",Job First (Financial Stability)
"my communication skills need improvement. I worry I am falling behind. Part of me thinks studies should remain the priority. I want practical advice, not just motivation.",Skill Development First
my father lost his job recently. I am also thinking about CAT preparation. I feel stuck between responsibility and ambition. This affects both my confidence and future planning.,Job First (Financial Stability)
I lack confidence during interviews. I feel pressure seeing others move faster. Family expectations make the decision harder. I keep overthinking this every day.,Skill Development First
I feel burnt out and emotionally drained. I cannot think properly about my future. I feel stuck between responsibility and ambition. This affects both my confidence and future planning.,Emotional Counseling Needed
I cannot focus because of emotional stress. because of this I cannot decide my career clearly. Part of me thinks studies should remain the priority. This situation is creating a lot of pressure for me.,Emotional Counseling Needed
"my father lost his job recently. part of me wants to continue education. Some people suggest taking a job first. I want practical advice, not just motivation.",Job First (Financial Stability)
I feel mentally exhausted every day. because of this I cannot decide my career clearly. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Emotional Counseling Needed
government job security matters to my family. I feel pressure choosing stability over speed. Family expectations make the decision harder. This affects both my confidence and future planning.,Government Exam Path
I want to pursue MBA for better career growth. my parents want quick financial stability. Part of me thinks studies should remain the priority. This affects both my confidence and future planning.,Higher Studies First
"government job security matters to my family. I wonder if private jobs are a better short-term option. Part of me thinks studies should remain the priority. I want practical advice, not just motivation.",Government Exam Path
I want financial stability without giving up education. I think both goals are equally important. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Balanced Job + Study Plan
I want part-time studies with a job. family responsibilities and future growth both matter. I want both stability and long-term growth. I do not want to regret my decision later.,Balanced Job + Study Plan
my coding skills are weak for placements. my friends are already getting placed. Part of me thinks studies should remain the priority. This situation is creating a lot of pressure for me.,Skill Development First
I lack confidence during interviews. I also think immediate income may be necessary. Part of me thinks studies should remain the priority. This affects both my confidence and future planning.,Skill Development First
I want to pursue MBA for better career growth. there is some financial pressure at home. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Higher Studies First
medical expenses are increasing at home. I was planning for higher studies. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Job First (Financial Stability)
"I am considering SSC preparation seriously. some people suggest private placements first. Some people suggest taking a job first. I want practical advice, not just motivation.",Government Exam Path
I feel unprepared for placements. I feel pressure seeing others move faster. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Skill Development First
everyone gives me different career advice. I keep changing my decision every week. I want both stability and long-term growth. This affects both my confidence and future planning.,Career Guidance Needed
I believe higher education will improve my future. but my family also expects me to start earning. Some people suggest taking a job first. This situation is creating a lot of pressure for me.,Higher Studies First
I recently went through a breakup. career decisions feel impossible right now. Family expectations make the decision harder. This situation is creating a lot of pressure for me.,Emotional Counseling Needed
"I want to pursue MBA for better career growth. my parents want quick financial stability. Some people suggest taking a job first. I want practical advice, not just motivation.",Higher Studies First
I feel confused between multiple options. I keep changing my decision every week. Some people suggest taking a job first. I do not want to regret my decision later.,Career Guidance Needed
"everyone gives me different career advice. sometimes I think job is better. Some people suggest taking a job first. I want practical advice, not just motivation.",Career Guidance Needed
I want a secure government career. I am confused between placement and preparation. Some people suggest taking a job first. This affects both my confidence and future planning.,Government Exam Path
there is heavy loan pressure at home. I also want to pursue MBA later. I want both stability and long-term growth. I do not want to regret my decision later.,Job First (Financial Stability)
my parents are struggling with monthly expenses. part of me wants to continue education. I want both stability and long-term growth. I do not want to regret my decision later.,Job First (Financial Stability)
I am considering SSC preparation seriously. I am confused between placement and preparation. Family expectations make the decision harder. This affects both my confidence and future planning.,Government Exam Path
I want strong long-term academic growth. I worry about delaying income. I feel stuck between responsibility and ambition. I keep overthinking this every day.,Higher Studies First
I want a secure government career. I wonder if private jobs are a better short-term option. I want both stability and long-term growth. I do not want to regret my decision later.,Government Exam Path
I feel unprepared for placements. but my family wants me to get a job quickly. Family expectations make the decision harder. I do not want to regret my decision later.,Skill Development First
"I feel unprepared for placements. I worry I am falling behind. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Skill Development First
I cannot focus because of emotional stress. placements and studies both feel overwhelming. I feel stuck between responsibility and ambition. I keep overthinking this every day.,Emotional Counseling Needed
I want part-time studies with a job. I do not want to regret leaving either option. Some people suggest taking a job first. I keep overthinking this every day.,Balanced Job + Study Plan
I recently went through a breakup. I cannot think properly about my future. I want both stability and long-term growth. This affects both my confidence and future planning.,Emotional Counseling Needed
I feel lost about my next step. sometimes I think job is better. Some people suggest taking a job first. This affects both my confidence and future planning.,Career Guidance Needed
my parents want me to prepare for UPSC. I am confused between placement and preparation. I want both stability and long-term growth. I do not want to regret my decision later.,Government Exam Path
I need both income and higher studies. family responsibilities and future growth both matter. I want both stability and long-term growth. This affects both my confidence and future planning.,Balanced Job + Study Plan
everyone gives me different career advice. government exams also seem attractive. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Career Guidance Needed
I want to work and prepare for CAT together. I think both goals are equally important. I want both stability and long-term growth. I do not want to regret my decision later.,Balanced Job + Study Plan
I need stronger technical skills first. but my family wants me to get a job quickly. Some people suggest taking a job first. I do not want to regret my decision later.,Skill Development First
I am considering SSC preparation seriously. I am confused between placement and preparation. I want both stability and long-term growth. I keep overthinking this every day.,Government Exam Path
I am preparing for banking exams. some people suggest private placements first. Some people suggest taking a job first. This affects both my confidence and future planning.,Government Exam Path
I want a secure government career. I wonder if private jobs are a better short-term option. I feel stuck between responsibility and ambition. I do not want to regret my decision later.,Government Exam Path
medical expenses are increasing at home. I do not want to give up studies forever. I feel stuck between responsibility and ambition. This situation is creating a lot of pressure for me.,Job First (Financial Stability)
I need stronger technical skills first. I feel pressure seeing others move faster. Family expectations make the decision harder. I do not want to regret my decision later.,Skill Development First
"my parents want me to prepare for UPSC. but private jobs are also available now. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Government Exam Path
"there is heavy loan pressure at home. I am also thinking about CAT preparation. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Job First (Financial Stability)
I feel burnt out and emotionally drained. I feel my confidence is broken. I want both stability and long-term growth. This affects both my confidence and future planning.,Emotional Counseling Needed
I feel mentally exhausted every day. I feel my confidence is broken. I want both stability and long-term growth. This situation is creating a lot of pressure for me.,Emotional Counseling Needed
I do not know what I should do in life. government exams also seem attractive. Family expectations make the decision harder. This situation is creating a lot of pressure for me.,Career Guidance Needed
I feel confused between multiple options. sometimes I feel higher studies may help. I want both stability and long-term growth. I keep overthinking this every day.,Career Guidance Needed
I want part-time studies with a job. I do not want to regret leaving either option. I feel stuck between responsibility and ambition. This situation is creating a lot of pressure for me.,Balanced Job + Study Plan
I want to work and prepare for CAT together. I want practical long-term balance. Some people suggest taking a job first. This affects both my confidence and future planning.,Balanced Job + Study Plan
my family depends on me financially. I was planning for higher studies. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Job First (Financial Stability)
everyone gives me different career advice. sometimes I think job is better. Part of me thinks studies should remain the priority. This situation is creating a lot of pressure for me.,Career Guidance Needed
I feel confused between multiple options. government exams also seem attractive. Some people suggest taking a job first. I do not want to regret my decision later.,Career Guidance Needed
I feel lost about my next step. sometimes I think job is better. I want both stability and long-term growth. I do not want to regret my decision later.,Career Guidance Needed
everyone gives me different career advice. I keep changing my decision every week. Part of me thinks studies should remain the priority. I keep overthinking this every day.,Career Guidance Needed
"government job security matters to my family. I feel pressure choosing stability over speed. I feel stuck between responsibility and ambition. I want practical advice, not just motivation.",Government Exam Path
I cannot focus because of emotional stress. I cannot think properly about my future. I feel stuck between responsibility and ambition. I keep overthinking this every day.,Emotional Counseling Needed
I feel burnt out and emotionally drained. I feel my confidence is broken. Part of me thinks studies should remain the priority. This situation is creating a lot of pressure for me.,Emotional Counseling Needed
I feel mentally exhausted every day. career decisions feel impossible right now. I feel stuck between responsibility and ambition. This affects both my confidence and future planning.,Emotional Counseling Needed
my parents want me to prepare for UPSC. I feel pressure choosing stability over speed. I want both stability and long-term growth. I do not want to regret my decision later.,Government Exam Path
I want to study abroad for masters. my parents want quick financial stability. Part of me thinks studies should remain the priority. This situation is creating a lot of pressure for me.,Higher Studies First
my father lost his job recently. part of me wants to continue education. I want both stability and long-term growth. This affects both my confidence and future planning.,Job First (Financial Stability)
I want to study abroad for masters. my parents want quick financial stability. Some people suggest taking a job first. I do not want to regret my decision later.,Higher Studies First
I cannot focus because of emotional stress. I cannot think properly about my future. Part of me thinks studies should remain the priority. I do not want to regret my decision later.,Emotional Counseling Needed
