input_text,target_output,,,
"Due to peer pressure, I feel lost and unsure whether I should choose bank exam preparation or research career.","""If peer pressure is making you confused, bank exam preparation is usually the more practical choice than a research career unless you have strong academic passion. Research demands patience, deep interest, and long-term dedication, while bank exams offer a clearer structure and faster career direction. Choose research only if you truly enjoy the subject, not because others seem ahead. Clarity matters more than comparison.""",,,
My family is pressuring me because of career confusion after graduation. Should I focus on research career or study abroad?,"""If you are confused after graduation and family pressure is increasing, research career is the better option only if you enjoy deep academic work and can stay patient for long-term growth. Study abroad should be chosen only when you have a strong purpose, financial readiness, and a clear academic goal. Do not choose abroad just because it feels like progress. A clear direction matters more than a distant destination.""",,,
"Due to backlogs in multiple subjects, I feel lost and unsure whether I should choose MBA preparation or startup idea.","""With multiple backlogs, MBA preparation is the smarter choice than jumping into a startup idea. A startup needs strong focus, confidence, and financial risk tolerance, which become harder when your academic base is already unstable. First strengthen your profile, clear your backlogs, and build discipline through MBA preparation. Stability first will help you take bigger risks later.""",,,
I feel mentally exhausted due to study abroad confusion. I need help choosing between family business and MBA preparation.,"""When you are mentally exhausted, avoid making decisions based only on escape. If you are already connected to family business, choosing that first can reduce pressure and give you immediate stability, while MBA preparation can still happen later with a clearer mind. MBA is valuable, but it needs strong focus and energy. Right now, mental peace and stability should come first.""",,,
I am worried about family health problems and I am confused between self-learning and projects and family business. Please suggest the best decision.,"""When family health problems are creating pressure, family business is usually the better immediate choice because it keeps you close, responsible, and financially practical. Self-learning and projects are important, but they can continue alongside your responsibilities without adding major risk. Right now, stability and family support matter more than chasing uncertainty. Build slowly instead of forcing a perfect decision.""","When family health problems exist, emotional and financial pressure becomes very heavy. In such situations, practical decisions matter most. Supporting your family while protecting your long-term career path should be the priority. Stability first, growth next.",,
Life feels confusing because of fear of disappointing parents. Is software job better than family business for my future?,"""If fear of disappointing your parents is driving this decision, choose the path where you can grow independently. A software job is usually better because it gives you professional exposure, skill growth, and financial independence while keeping future options open. Family business can still remain an option later if you genuinely want it. First prove yourself through your own capability.""",,,
I feel pressure because of fear of disappointing parents. Can you help me decide between government exam preparation and internship preparation?,"""If parental pressure is high, internship preparation is usually the better first step than government exam preparation unless you are deeply committed to that exam path. Internships give faster exposure, practical learning, and a clearer understanding of your strengths, while government exams need long patience and full dedication. Do not enter exam preparation just to satisfy others. First test your real career direction through experience.""",,,
I am struggling with placement rejection and I cannot decide between government exam preparation and family business. Please guide me.,"""If placement rejection has shaken your confidence, do not make a rushed decision from fear. Family business is often the better immediate option if it offers real responsibility and financial support, because it gives stability while you rebuild confidence. Government exam preparation needs strong long-term discipline and emotional patience. Choose the path that helps you move forward now, not the one that only sounds safer.""",,,
I feel pressure because of fear of disappointing parents. Can you help me decide between remote work and research career?,"""Between remote work and a research career, remote work is the better first step when parental pressure and fear of disappointment are already affecting you. It gives you income, independence, and practical experience while reducing emotional stress at home. Research needs deep long-term focus and patience, which is harder when your mind is under pressure. Build stability first, then move toward research later if the interest stays strong.""",,,
"Due to fear of future uncertainty, I feel lost and unsure whether I should choose internship preparation or study abroad.","""With fear of future uncertainty, internship preparation is the smarter choice before study abroad. It helps you gain practical experience, understand your strengths, and improve your profile without the heavy financial and emotional pressure of going abroad too early. Study abroad should come after clarity, not before it. First build confidence through experience, then make bigger decisions.""",,,
"Everyone around me seems ahead and because of lack of self-confidence, I cannot choose between study abroad and upskilling first.","""When self-confidence is low, choosing study abroad too quickly can increase stress instead of solving it. Upskilling first is the better path because it helps you strengthen your abilities, improve your confidence, and make future decisions from a stronger position. Study abroad works best when you are already clear and prepared. First become capable, then go global.""",,,
I am worried about scholarship rejection and I am confused between self-learning and projects and internship preparation. Please suggest the best decision.,"""If scholarship rejection has created confusion, focus on internship preparation while continuing self-learning and projects alongside it. Internships give direct industry exposure and improve employability faster, while projects strengthen your profile in support of that goal. Do not wait for the perfect scholarship to move forward. Real progress starts with practical experience, not delayed plans.""","With scholarship rejection affecting your confidence, starting with self-learning and projects is a smart way to rebuild control and self-belief. Skill development creates opportunities that remain valuable regardless of future decisions. Once you gain confidence and practical exposure, moving toward internship preparation becomes much easier and less risky.",,
My family is pressuring me because of internship rejection. Should I focus on study abroad or stable job?,"""If internship rejection has already affected your confidence, a stable job is the better choice than rushing into study abroad because of family pressure. It gives you financial security, work experience, and emotional balance before making a bigger investment like studying abroad. Going abroad without clarity often creates more stress. Stability first will help you choose better later.""",,,
I am worried about fear of future uncertainty and I am confused between internship preparation and bank exam preparation. Please suggest the best decision.,"""When future uncertainty is making you anxious, internship preparation is usually the better first step than bank exam preparation unless you are genuinely committed to the government exam path. Internships give faster exposure, skill growth, and clearer career direction, while bank exams require long patience and full dedication. Do not choose exams just because they sound secure. First test your strengths in the real world.""",,,
Life feels confusing because of study abroad confusion. Is MBA preparation better than software job for my future?,"""If your background already aligns with tech, a software job is usually the better choice than MBA preparation right now. It gives immediate industry exposure, income, and real understanding of the field before investing time and money into an MBA. MBA works best when you know why you need it, not as a way to escape confusion. Experience first creates better long-term decisions.""",,,
"Because of internship rejection, I feel stuck choosing between government exam preparation and internship preparation. What should I do?","""After internship rejection, internship preparation is still the better choice unless you have a strong and genuine interest in government exams. One rejection does not mean the path is wrong; it usually means your preparation needs improvement. Government exams demand years of discipline and should not be chosen only out of disappointment. Fix your skills first before changing direction completely.""",,,
I feel mentally exhausted due to low CGPA. I need help choosing between study abroad and stable job.,"""With low CGPA and mental exhaustion, a stable job should be your priority over study abroad. It gives financial security, practical experience, and time to rebuild confidence without adding the heavy pressure of expensive international plans. Study abroad can still happen later with a stronger profile. Right now, stability will help more than ambition alone.""",,,
"Because of toxic relationship, I feel stuck choosing between upskilling first and research career. What should I do?","""When a toxic relationship is already draining your energy, upskilling first is the better decision than entering a research career. Research needs strong mental focus and long-term consistency, while upskilling helps you rebuild confidence faster through visible progress and practical results. First create personal stability and emotional distance from the toxicity. Growth becomes easier when your mind is clear.""",,,
My family is pressuring me because of scholarship rejection. Should I focus on research career or stable job?,"""After scholarship rejection and family pressure, a stable job is usually the better choice than a research career. It gives you financial independence, reduces family stress, and helps rebuild confidence through real progress. Research careers need patience, strong academic focus, and long-term commitment, which become harder when emotional pressure is high. Secure stability first, then consider research later if the interest remains strong.""",,,
I am struggling with startup failure fear and I cannot decide between study abroad and software job. Please guide me.,"""If startup failure fear is already creating doubt, a software job is the better decision than study abroad right now. It gives you income, practical industry experience, and confidence without the heavy financial risk and uncertainty of going abroad too early. Study abroad should be chosen with a clear purpose, not as an escape from fear. First build stability, then expand your options.""",,,
I am worried about internship rejection and I am confused between upskilling first and study abroad. Please suggest the best decision.,"""After internship rejection, upskilling first is the smarter choice than rushing into study abroad. Rejection often means your skills, projects, or interview preparation need improvement, not that your entire path is wrong. Strengthen your profile first so that whether you choose a job or study abroad later, you move with confidence. Growth should come before expensive decisions.""",,,
"Because of placement rejection, I feel stuck choosing between self-learning and projects and higher studies. What should I do?","""If placement rejection has made you doubt yourself, focus on self-learning and projects before choosing higher studies. Strong projects and practical skills can improve your chances faster and also help you understand whether higher studies is truly needed. Do not use higher studies as a hiding place from rejection. First strengthen your capability, then decide your next academic step.""",,,
I feel pressure because of social media distraction. Can you help me decide between bank exam preparation and software job?,"""When social media distraction is already affecting focus, a software job is usually the better choice than bank exam preparation. Bank exams need long, isolated, and highly disciplined preparation, while software roles allow progress through projects, skills, and practical learning with visible milestones. Choose the path where consistency feels more realistic. Discipline grows better with action than endless preparation.""",,,
I feel mentally exhausted due to backlogs in multiple subjects. I need help choosing between bank exam preparation and upskilling first.,"""With multiple backlogs and mental exhaustion, upskilling first is the better choice than bank exam preparation. Government exams require long-term discipline and emotional patience, which become difficult when your academic foundation already feels heavy. Start by rebuilding confidence through practical skills and small wins. Once your basics are stronger, bigger competitive goals become easier to handle.""",,,
I am worried about scholarship rejection and I am confused between freelancing and remote work. Please suggest the best decision.,"""If scholarship rejection has created financial uncertainty, remote work is usually the better choice than freelancing. Remote work offers more stable income, structured experience, and professional growth, while freelancing often depends on inconsistent clients and self-marketing. Stability matters more right now than freedom alone. Build a strong base first, then explore freelancing later if you want.""",,,
I feel pressure because of depression and anxiety. Can you help me decide between upskilling first and self-learning and projects?,"""When depression and anxiety are already draining your energy, focus on self-learning and projects first. They allow flexible progress without the pressure of constant comparison and help rebuild confidence through visible small achievements. Upskilling is important, but structured self-learning with practical projects creates stronger emotional control. Right now, gentle consistency matters more than speed.""","Major life decisions should not be made when your mind is overwhelmed. Emotional clarity comes first. Speak with a trusted mentor, counselor, or supportive person. Stabilizing your mental health is not a delay. It is a necessary part of building a stronger future.",,
I want long-term growth but lack of self-confidence is making me choose between government exam preparation and study abroad.,"""If you want long-term growth but self-confidence is low, government exam preparation is the better choice only if you genuinely want that career and can stay disciplined for years. Study abroad should be chosen only when you already have clarity, confidence, and financial planning. Do not use abroad as proof of success. Choose the path you can stay committed to, not the one that looks bigger.""",confidence is making me choose between government exam preparation and study abroad.,"Since you are dealing with lack of self-confidence, choosing government exam preparation first may provide immediate stability and reduce pressure. This helps you manage present responsibilities while keeping study abroad as a long-term goal. Financial security creates confidence, and once stability improves, future academic or personal growth becomes much easier to pursue.",
I want long-term growth but relationship breakup is making me choose between study abroad and research career.,"""After a relationship breakup, study abroad is usually the better choice than a research career if you want long-term growth and a fresh environment. It gives you new exposure, independence, and a chance to rebuild your identity outside emotional pain. Research demands deep mental focus, which can be harder during emotional recovery. Sometimes a new direction helps healing and growth together.""","A breakup can make everything feel unstable, but temporary emotional pain should not permanently damage your academic future. Focus first on emotional recovery, healthy boundaries, and rebuilding confidence. Career stability and self-growth will help you recover faster than emotional overthinking.",,
I am worried about startup failure fear and I am confused between MBA preparation and research career. Please suggest the best decision.,"""If startup failure fear is already making you anxious, MBA preparation is usually the safer and smarter choice than a research career. It gives structured growth, broader career opportunities, and stronger business understanding without the uncertainty of jumping directly into risky decisions. Research careers need deep academic interest and patience, not fear-based decision-making. Choose the path that builds confidence first.""",,,
"Because of financial guilt for not earning, I feel stuck choosing between higher studies and bank exam preparation. What should I do?","""When financial guilt for not earning is heavy, bank exam preparation is often the better choice than higher studies if you are ready for disciplined preparation. It offers a clearer path toward financial stability and reduces the pressure of spending more money on education without immediate returns. Higher studies should come with a strong purpose, not just delay. Right now, income security matters more.""",,,
I feel pressure because of depression and anxiety. Can you help me decide between startup idea and government exam preparation?,"""When depression and anxiety are already affecting you, government exam preparation is usually safer than starting a startup idea. A startup demands high emotional energy, risk tolerance, and constant uncertainty, which can become overwhelming in your current state. Government exam preparation gives structure, stability, and a clearer path if you can stay disciplined. Mental stability should come before high-risk ambition.""",,,
"Due to family financial pressure, I feel lost and unsure whether I should choose internship preparation or study abroad.","""With family financial pressure, internship preparation is the better first step than study abroad. It helps you gain experience, improve employability, and start earning sooner without adding the heavy financial burden of international education. Study abroad should come after financial clarity, not during financial stress. Stability now will create stronger options later.""",,,
I feel pressure because of career confusion after graduation. Can you help me decide between government exam preparation and family business?,"""Between government exam preparation and family business, choose family business first if it offers real responsibility and financial stability. Government exams need long-term patience and full dedication, and they should not be chosen only because you feel confused after graduation. Family business gives immediate practical experience and income while keeping you moving forward. Stability helps clarity grow.""",,,
I am worried about mental burnout and I am confused between family business and internship preparation. Please suggest the best decision.,"""When mental burnout is already strong, family business is usually the better choice than internship preparation. It can provide a more stable and familiar environment while reducing the pressure of constant competition and rejection. Internship preparation needs focused energy and persistence, which burnout can make difficult. Recover your mental strength first, then push for bigger opportunities.""",,,
Life feels confusing because of family financial pressure. Is higher studies better than research career for my future?,"""If family financial pressure is high, higher studies should be chosen only when it clearly improves employability and has a practical return. Compared to a research career, higher studies is usually the better option because research takes longer and offers slower financial stability. Right now, your decision should support both growth and responsibility. Choose the path that balances ambition with financial reality.""",,,
My family is pressuring me because of comparison with friends. Should I focus on MBA preparation or remote work?,"""If your family is comparing you with friends, remote work is usually the better first step than MBA preparation. It gives income, work experience, and independence faster, while MBA requires more investment and should be done with clear purpose, not social pressure. First gain practical exposure and understand your career direction. MBA can always come later with better clarity.""",,,
Life feels confusing because of loan pressure for education. Is research career better than self-learning and projects for my future?,"""With education loan pressure, self-learning and projects are usually the better choice than a research career. They help you build practical skills faster and improve job opportunities without adding years of academic uncertainty. Research needs long-term patience and often slower financial returns. Right now, reducing financial pressure should come before pursuing deeper academic paths.""","Because of loan pressure for education, focusing on research career can strengthen your long-term career growth and professional opportunities. Even if self-learning and projects seems practical right now, strong academic planning often creates better future stability. Choose discipline, consistency, and long-term vision over short-term fear.",,
I am worried about comparison with friends and I am confused between remote work and study abroad. Please suggest the best decision.,"""When comparison with friends is creating stress, remote work is usually the better choice than study abroad. It gives you income, practical exposure, and independence without the heavy financial and emotional pressure of moving abroad too early. Study abroad should be chosen with a clear goal, not because others seem ahead. Build your own path, not a competitive reaction.""",,,
I feel mentally exhausted due to government exam pressure from family. I need help choosing between family business and freelancing.,"""When family pressure around government exams is mentally exhausting, family business is often the better choice than freelancing. It offers more stability, clearer responsibility, and consistent support, while freelancing can create more uncertainty and stress. Right now, your mind needs structure more than unpredictability. Choose the path that helps you breathe, not one that adds more pressure.""",,,
I want long-term growth but relationship breakup is making me choose between startup idea and government exam preparation.,"""After a relationship breakup, government exam preparation is usually the better choice than starting a startup idea. A startup needs emotional strength, risk tolerance, and constant decision-making, while exams provide structure and a stable target during a difficult phase. Healing works better when life has routine and direction. Build emotional stability before taking bigger risks.""","A breakup can make everything feel unstable, but temporary emotional pain should not permanently damage your academic future. Focus first on emotional recovery, healthy boundaries, and rebuilding confidence. Career stability and self-growth will help you recover faster than emotional overthinking.",,
I am worried about backlogs in multiple subjects and I am confused between self-learning and projects and bank exam preparation. Please suggest the best decision.,"""With multiple backlogs, self-learning and projects are the better first step than bank exam preparation. Government exams require strong discipline and long-term consistency, which become harder when your academic base already feels unstable. Practical skills and projects help rebuild confidence faster and improve employability. First strengthen yourself, then aim for bigger competitive goals.""","With backlogs in multiple subjects affecting your confidence, starting with self-learning and projects is a smart way to rebuild control and self-belief. Skill development creates opportunities that remain valuable regardless of future decisions. Once you gain confidence and practical exposure, moving toward bank exam preparation becomes much easier and less risky.",,
I am struggling with career confusion after graduation and I cannot decide between startup idea and upskilling first. Please guide me.,"""If you are confused after graduation, choose upskilling first before starting a startup idea. A startup needs strong skills, market understanding, and confidence, while upskilling helps you build that foundation safely. Starting too early from confusion often leads to more frustration. Learn first, then take bigger risks with better preparation.""",,,
I feel pressure because of lack of motivation. Can you help me decide between family business and MBA preparation?,"""When motivation is low, family business is usually the better immediate choice than MBA preparation. It gives structure, responsibility, and practical movement without the added pressure of entrance preparation and academic uncertainty. MBA needs strong focus and clear purpose to be worth it. Right now, steady action matters more than another long plan.""",,,
I am worried about scholarship rejection and I am confused between self-learning and projects and remote work. Please suggest the best decision.,"""If scholarship rejection has created uncertainty, remote work is usually the better choice while continuing self-learning and projects alongside it. Remote work gives income and professional exposure, while projects strengthen your profile for better future opportunities. Do not pause your progress waiting for external approval like scholarships. Build momentum with what you can control now.""","With scholarship rejection affecting your confidence, starting with self-learning and projects is a smart way to rebuild control and self-belief. Skill development creates opportunities that remain valuable regardless of future decisions. Once you gain confidence and practical exposure, moving toward remote work becomes much easier and less risky.",,
I feel pressure because of loan pressure for education. Can you help me decide between upskilling first and remote work?,"""When education loan pressure is high, remote work is usually the better choice than only upskilling first. It gives immediate income and reduces financial stress while still allowing you to keep learning alongside work. Pure upskilling without earning can increase anxiety when loans are involved. Stability and progress should happen together.""",,,
I am struggling with relationship breakup and I cannot decide between bank exam preparation and family business. Please guide me.,"""After a relationship breakup, family business is often the better first step than bank exam preparation if it offers stability and support. Bank exams need long-term focus and emotional patience, which can be difficult during emotional recovery. Family business keeps you engaged and grounded while your mind heals. First rebuild yourself, then choose bigger competitive paths.""",,,
"Because of mental burnout, I feel stuck choosing between bank exam preparation and software job. What should I do?","""When mental burnout is already strong, a software job is usually the better choice than bank exam preparation. Government exams demand long isolated preparation and emotional endurance, while software roles allow progress through practical work, income, and visible results. Burnout improves faster with structured action than endless waiting. Choose movement over prolonged pressure.""",,,
Life feels confusing because of government exam pressure from family. Is study abroad better than higher studies for my future?,"""If family pressure around government exams is creating confusion, higher studies is usually better than study abroad unless you have a very clear reason and strong finances for going abroad. Higher studies gives specialization and growth with less financial risk and more practical control. Study abroad should be a strategic decision, not an escape from pressure. Choose clarity over distance.""",,,
I am worried about internship rejection and I am confused between upskilling first and software job. Please suggest the best decision.,"""After internship rejection, upskilling first is the better choice than rushing into a software job. Rejection usually means your skills, projects, or interview preparation need improvement, not that your career path is wrong. Strengthen your foundation first so your next opportunity is stronger and more stable. Better preparation now prevents repeated disappointment later.""",,,
I am struggling with parental expectations and I cannot decide between study abroad and freelancing. Please guide me.,"""When parental expectations are already creating pressure, study abroad should only be chosen if you have a clear academic goal and strong financial planning. Otherwise, freelancing is too unstable to depend on under family pressure. In most cases, study abroad is better only with purpose, not as a way to satisfy others. Choose the path you can defend with confidence, not just approval.""",,,
I am struggling with mental burnout and I cannot decide between research career and family business. Please guide me.,"""When mental burnout is already strong, family business is usually the better choice than a research career. It offers a more stable and familiar environment, while research demands deep focus, patience, and long-term academic commitment. Right now, your energy should go toward recovery and stability, not heavy intellectual pressure. Mental peace first will improve future decisions.""",,,
"Due to low CGPA, I feel lost and unsure whether I should choose research career or software job.","""With low CGPA, a software job is usually the better choice than a research career. Research often depends heavily on academic strength and long-term academic consistency, while software roles value practical skills, projects, and problem-solving much more. Focus on building strong technical ability instead of letting grades define you. Skills can recover what marks cannot.""",,,
"Due to backlogs in multiple subjects, I feel lost and unsure whether I should choose stable job or software job.","""With multiple backlogs, a software job is usually the better choice than a general stable job if your background supports it. It offers both career growth and financial stability, while also rewarding practical skills more than perfect academic records. Do not settle too early just because backlogs hurt your confidence. Build where your long-term growth is stronger.""",,,
I feel pressure because of scholarship rejection. Can you help me decide between MBA preparation and remote work?,"""After scholarship rejection, remote work is usually the better first step than MBA preparation. It gives income, professional exposure, and financial relief without adding more education costs and uncertainty. MBA should be done with a clear purpose, not as a reaction to rejection. First create stability, then invest in bigger academic plans.""",,,
I want long-term growth but fear of disappointing parents is making me choose between government exam preparation and upskilling first.,"""If long-term growth matters and fear of disappointing parents is affecting you, upskilling first is usually better than government exam preparation unless you truly want that exam path. Government exams need years of full commitment, while upskilling creates faster progress, flexibility, and broader career options. Do not choose exams only to look secure in front of others. Build capability first, then decide bigger commitments.""",Many students silently carry the fear of disappointing their parents. The solution is not blind sacrifice but honest communication and practical planning. Show responsibility through consistent action and let your progress build trust instead of fear.,,
I want long-term growth but lack of self-confidence is making me choose between freelancing and upskilling first.,"""For long-term growth, upskilling first is a better choice than freelancing when self-confidence is low. Freelancing needs strong self-promotion, client handling, and confidence from day one, while upskilling helps you build competence and belief in yourself first. Confidence grows from skill, not motivation alone. Strengthen your foundation before chasing independence.""",confidence is making me choose between freelancing and upskilling first.,"Since you are dealing with lack of self-confidence, choosing freelancing first may provide immediate stability and reduce pressure. This helps you manage present responsibilities while keeping upskilling first as a long-term goal. Financial security creates confidence, and once stability improves, future academic or personal growth becomes much easier to pursue.",
Life feels confusing because of parental expectations. Is family business better than MBA preparation for my future?,"""If parental expectations are driving this decision, family business is better only when it offers real growth and responsibility, not just obligation. Otherwise, MBA preparation is the stronger long-term option because it builds your own career identity and wider opportunities. Do not stay in family business only to avoid conflict. Choose the path where your future can expand, not shrink.""",,,
I feel pressure because of confusion between passion and stability. Can you help me decide between upskilling first and software job?,"""Between upskilling first and a software job, choose upskilling first if your skills are not yet strong enough for confident job performance. Passion should be supported by competence, not rushed by pressure for stability. Once your skills improve, the software job becomes a stronger and more sustainable option. Preparation creates better stability than quick decisions.""",,,
I feel mentally exhausted due to depression and anxiety. I need help choosing between software job and research career.,"""When depression and anxiety are already affecting you, a software job is usually better than a research career. It offers structure, routine, income, and visible progress, while research demands long-term mental focus and emotional patience. Right now, stability and manageable progress matter more than academic depth. Healing becomes easier when life has structure.""",,,
"Because of mental burnout, I feel stuck choosing between startup idea and bank exam preparation. What should I do?","""When mental burnout is strong, bank exam preparation is usually safer than starting a startup idea. A startup needs constant risk-taking, uncertainty, and emotional energy, while exam preparation gives structure and a clear path if you can stay disciplined. Your mind needs predictability before high-risk ambition. Stability should come before experimentation.""",,,
I am struggling with confusion between passion and stability and I cannot decide between freelancing and internship preparation. Please guide me.,"""When confused between passion and stability, internship preparation is usually the better choice than freelancing. It gives structured learning, industry exposure, and a clearer path toward stable growth, while freelancing can be unpredictable and harder without strong experience. First learn inside a system, then choose freedom later if it still fits your goals. Stability can support passion better than chaos.""",,,
I want long-term growth but social media distraction is making me choose between MBA preparation and stable job.,"""If social media distraction is already affecting focus, a stable job is usually the better choice than MBA preparation right now. MBA needs strong discipline, entrance preparation, and clear purpose, while a stable job gives structure, income, and practical momentum. First rebuild consistency through routine. Bigger academic goals work better after discipline returns.""","Because of social media distraction, focusing on MBA preparation can strengthen your long-term career growth and professional opportunities. Even if stable job seems practical right now, strong academic planning often creates better future stability. Choose discipline, consistency, and long-term vision over short-term fear.",,
I am worried about low CGPA and I am confused between research career and government exam preparation. Please suggest the best decision.,"""With low CGPA, government exam preparation is usually a better option than a research career unless you have a very strong academic interest. Research often depends on academic records and long-term scholarly commitment, while government exams depend more on preparation and discipline than past grades. Choose the path where your current situation is less of a barrier. Strategy matters more than regret.""",,,
I am struggling with depression and anxiety and I cannot decide between freelancing and startup idea. Please guide me.,"""When depression and anxiety are already heavy, freelancing is usually a safer choice than starting a startup idea. A startup brings high uncertainty and constant pressure, while freelancing allows smaller, more controlled steps with flexible pace. Right now, emotional stability matters more than big ambition. Start small and rebuild confidence gradually.""",,,
I am worried about social media distraction and I am confused between freelancing and upskilling first. Please suggest the best decision.,"""If social media distraction is hurting your focus, upskilling first is the better choice than freelancing. Freelancing needs discipline and consistency to handle clients and deadlines, while upskilling helps you rebuild focus through structured learning and clear progress. First strengthen your habits, then turn those skills into income. Discipline should come before independence.""",,,
