input,decision
I recently had a breakup I want mental clarity I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Emotional Counseling Needed
I feel lost about my future I feel low confidence I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Career Guidance Needed
my parents want me to prepare for UPSC I want to make the right decision This keeps bothering me every day. I also think family expectations matter a lot.,Government Exam Path
my family needs financial support I want a stable future This keeps bothering me every day.,Job First (Financial Stability)
I am considering SSC preparation I want to make the right decision This keeps bothering me every day. I also think family expectations matter a lot.,Government Exam Path
my father lost his job I want a stable future I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Job First (Financial Stability)
"I want a job while preparing for CAT I want a stable future I need practical advice, not just motivation. I wonder if financial stability should be the priority.",Balanced Job + Study Plan
my communication skills need improvement I want practical career advice I want clarity because time is moving fast. I also think family expectations matter a lot.,Skill Development First
I do not know what I should do in life I want clarity before deciding This affects both my confidence and future planning.,Career Guidance Needed
government job security matters to me I want to make the right decision This affects both my confidence and future planning.,Government Exam Path
higher studies feel important for my future I feel pressure from my family This keeps bothering me every day. I also think family expectations matter a lot.,Higher Studies First
I need to earn quickly I am confused between job and studies I do not want to regret my decision later.,Job First (Financial Stability)
my coding skills are weak I am confused about my next step I do not want to regret my decision later. I also think family expectations matter a lot.,Skill Development First
I feel confused between many career options I feel low confidence I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Career Guidance Needed
there is loan pressure at home I want a stable future I do not want to regret my decision later. I wonder if financial stability should be the priority.,Job First (Financial Stability)
"I lack confidence in interviews I want a stable future I need practical advice, not just motivation. I also think family expectations matter a lot.",Skill Development First
I am planning for MTech I feel pressure from my family This keeps bothering me every day. Part of me also considers higher studies seriously.,Higher Studies First
I feel emotionally drained I want mental clarity This keeps bothering me every day. Sometimes I think skill improvement should come first.,Emotional Counseling Needed
anxiety is affecting my studies I feel pressure from inside and outside This affects both my confidence and future planning. Part of me also considers higher studies seriously.,Emotional Counseling Needed
I am planning for MTech I feel pressure from my family I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Higher Studies First
my family needs financial support I want to make the right long-term decision This affects both my confidence and future planning. Sometimes I think skill improvement should come first.,Job First (Financial Stability)
I am considering SSC preparation I want to make the right decision I do not want to regret my decision later. I wonder if financial stability should be the priority.,Government Exam Path
I want to pursue MBA I am confused between job and studies I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Higher Studies First
I want part-time study with work I want a stable future I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Balanced Job + Study Plan
I feel confused between many career options I feel low confidence This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Career Guidance Needed
I feel mentally exhausted I am confused about my next step I do not want to regret my decision later. I also think family expectations matter a lot.,Emotional Counseling Needed
I do not know what I should do in life I am confused about my next step This keeps bothering me every day. I also think family expectations matter a lot.,Career Guidance Needed
I need internship experience first I am confused about my next step This keeps bothering me every day. Part of me also considers higher studies seriously.,Skill Development First
I do not know what I should do in life I want a stable future This affects both my confidence and future planning.,Career Guidance Needed
I feel lost about my future I feel low confidence I do not want to regret my decision later.,Career Guidance Needed
everyone gives me different advice I want a stable future I do not want to regret my decision later. I wonder if financial stability should be the priority.,Career Guidance Needed
I feel confused between many career options I am confused about my next step I do not want to regret my decision later. I wonder if financial stability should be the priority.,Career Guidance Needed
anxiety is affecting my studies I want mental clarity I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Emotional Counseling Needed
"I recently had a breakup I feel low confidence I need practical advice, not just motivation. I wonder if financial stability should be the priority.",Emotional Counseling Needed
I am considering SSC preparation I feel pressure from my family I want clarity because time is moving fast. I also think family expectations matter a lot.,Government Exam Path
I feel mentally exhausted I feel low confidence I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Emotional Counseling Needed
my family needs financial support I want a stable future I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Job First (Financial Stability)
there is loan pressure at home I am confused between job and studies I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Job First (Financial Stability)
I want to work and study together I want a stable future I want clarity because time is moving fast.,Balanced Job + Study Plan
I do not know what I should do in life I am confused about my next step This keeps bothering me every day. Part of me also considers higher studies seriously.,Career Guidance Needed
"I am planning for MTech I feel pressure from my family I need practical advice, not just motivation. Sometimes I think skill improvement should come first.",Higher Studies First
"I cannot focus because of stress I feel pressure from inside and outside I need practical advice, not just motivation. Part of me also considers higher studies seriously.",Emotional Counseling Needed
everyone gives me different advice I want clarity before deciding This affects both my confidence and future planning. I also think family expectations matter a lot.,Career Guidance Needed
I feel mentally exhausted I feel low confidence This keeps bothering me every day. Sometimes I think skill improvement should come first.,Emotional Counseling Needed
expenses at home are increasing I want to make the right long-term decision This affects both my confidence and future planning. Part of me also considers higher studies seriously.,Job First (Financial Stability)
government job security matters to me I want a stable future This keeps bothering me every day. Part of me also considers higher studies seriously.,Government Exam Path
I feel unprepared for placements I feel low confidence This keeps bothering me every day. Sometimes I think skill improvement should come first.,Skill Development First
I want better career growth through education I feel pressure from my family This keeps bothering me every day.,Higher Studies First
there is loan pressure at home I feel pressure from my family I do not want to regret my decision later. I also think family expectations matter a lot.,Job First (Financial Stability)
I want a job while preparing for CAT I feel pressure from my family This affects both my confidence and future planning. I also think family expectations matter a lot.,Balanced Job + Study Plan
my parents want me to prepare for UPSC I feel pressure from my family This affects both my confidence and future planning. Part of me also considers higher studies seriously.,Government Exam Path
I am considering SSC preparation I am confused about my next step This keeps bothering me every day.,Government Exam Path
expenses at home are increasing I feel pressure from my family I do not want to regret my decision later. I wonder if financial stability should be the priority.,Job First (Financial Stability)
my family needs financial support I want a stable future This keeps bothering me every day. Part of me also considers higher studies seriously.,Job First (Financial Stability)
everyone gives me different advice I am confused about my next step I want clarity because time is moving fast.,Career Guidance Needed
"I do not know what I should do in life I want a stable future I need practical advice, not just motivation.",Career Guidance Needed
I want better career growth through education I feel pressure from my family I want clarity because time is moving fast. Part of me also considers higher studies seriously.,Higher Studies First
there is loan pressure at home I want to make the right long-term decision I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Job First (Financial Stability)
expenses at home are increasing I am confused between job and studies I want clarity because time is moving fast.,Job First (Financial Stability)
I am planning for MTech I feel pressure from my family This affects both my confidence and future planning.,Higher Studies First
I am considering SSC preparation I want to make the right decision I do not want to regret my decision later. Part of me also considers higher studies seriously.,Government Exam Path
"I am planning for MTech I am confused between job and studies I need practical advice, not just motivation. Sometimes I think skill improvement should come first.",Higher Studies First
I want to work and study together I want a practical long-term plan This keeps bothering me every day. I also think family expectations matter a lot.,Balanced Job + Study Plan
"I want to pursue MBA I feel pressure from my family I need practical advice, not just motivation. Sometimes I think skill improvement should come first.",Higher Studies First
I feel confused between many career options I am confused about my next step I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Career Guidance Needed
I want to prepare for CAT I want a stable future This affects both my confidence and future planning.,Higher Studies First
I recently had a breakup I feel low confidence This keeps bothering me every day. I wonder if financial stability should be the priority.,Emotional Counseling Needed
I feel unprepared for placements I want practical career advice This affects both my confidence and future planning.,Skill Development First
I want better career growth through education I want to make the right long-term decision I do not want to regret my decision later. I wonder if financial stability should be the priority.,Higher Studies First
I cannot focus because of stress I feel pressure from inside and outside This keeps bothering me every day. I wonder if financial stability should be the priority.,Emotional Counseling Needed
I feel lost about my future I want clarity before deciding I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Career Guidance Needed
I am preparing for banking exams I feel pressure from my family I want clarity because time is moving fast. Part of me also considers higher studies seriously.,Government Exam Path
I want to prepare for CAT I want to make the right long-term decision This keeps bothering me every day. Sometimes I think skill improvement should come first.,Higher Studies First
I want better career growth through education I want a stable future I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Higher Studies First
I want part-time study with work I want a practical long-term plan I do not want to regret my decision later. Part of me also considers higher studies seriously.,Balanced Job + Study Plan
"I feel unprepared for placements I want practical career advice I need practical advice, not just motivation. I also think family expectations matter a lot.",Skill Development First
I want to pursue MBA I am confused between job and studies I want clarity because time is moving fast.,Higher Studies First
there is loan pressure at home I feel pressure from my family This affects both my confidence and future planning.,Job First (Financial Stability)
I lack confidence in interviews I feel low confidence I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Skill Development First
my father lost his job I want a stable future I want clarity because time is moving fast. Part of me also considers higher studies seriously.,Job First (Financial Stability)
my father lost his job I want to make the right long-term decision I want clarity because time is moving fast.,Job First (Financial Stability)
"everyone gives me different advice I am confused about my next step I need practical advice, not just motivation.",Career Guidance Needed
I need both income and higher studies I feel pressure from my family I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Balanced Job + Study Plan
"I want to work and study together I want a stable future I need practical advice, not just motivation. I wonder if financial stability should be the priority.",Balanced Job + Study Plan
everyone gives me different advice I want clarity before deciding This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Career Guidance Needed
I have no clear direction I am confused about my next step This keeps bothering me every day. Sometimes I think skill improvement should come first.,Career Guidance Needed
I want better career growth through education I feel pressure from my family This keeps bothering me every day. I also think family expectations matter a lot.,Higher Studies First
I need to earn quickly I want to make the right long-term decision This keeps bothering me every day. I wonder if financial stability should be the priority.,Job First (Financial Stability)
I am considering SSC preparation I am confused about my next step This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Government Exam Path
I feel confused between many career options I feel low confidence This affects both my confidence and future planning.,Career Guidance Needed
I need both income and higher studies I want a practical long-term plan I do not want to regret my decision later.,Balanced Job + Study Plan
my communication skills need improvement I feel low confidence This affects both my confidence and future planning.,Skill Development First
I feel emotionally drained I feel pressure from inside and outside This affects both my confidence and future planning. Sometimes I think skill improvement should come first.,Emotional Counseling Needed
I recently had a breakup I want mental clarity I do not want to regret my decision later. I also think family expectations matter a lot.,Emotional Counseling Needed
I need both income and higher studies I want a stable future This keeps bothering me every day. Sometimes I think skill improvement should come first.,Balanced Job + Study Plan
I want better career growth through education I want a stable future This affects both my confidence and future planning. Part of me also considers higher studies seriously.,Higher Studies First
my parents want me to prepare for UPSC I feel pressure from my family I do not want to regret my decision later. Part of me also considers higher studies seriously.,Government Exam Path
my father lost his job I want to make the right long-term decision This keeps bothering me every day. Sometimes I think skill improvement should come first.,Job First (Financial Stability)
"expenses at home are increasing I want a stable future I need practical advice, not just motivation. I wonder if financial stability should be the priority.",Job First (Financial Stability)
I want a job while preparing for CAT I am confused between job and studies I do not want to regret my decision later. I also think family expectations matter a lot.,Balanced Job + Study Plan
I want a job while preparing for CAT I am confused between job and studies This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Balanced Job + Study Plan
I want to prepare for CAT I want a stable future I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Higher Studies First
I feel emotionally drained I want mental clarity This keeps bothering me every day. Part of me also considers higher studies seriously.,Emotional Counseling Needed
I am preparing for banking exams I feel pressure from my family I do not want to regret my decision later. Part of me also considers higher studies seriously.,Government Exam Path
my family needs financial support I want a stable future This keeps bothering me every day. I wonder if financial stability should be the priority.,Job First (Financial Stability)
I need internship experience first I am confused about my next step This affects both my confidence and future planning. Sometimes I think skill improvement should come first.,Skill Development First
expenses at home are increasing I am confused between job and studies This keeps bothering me every day.,Job First (Financial Stability)
I lack confidence in interviews I feel low confidence I do not want to regret my decision later. I wonder if financial stability should be the priority.,Skill Development First
I feel mentally exhausted I want mental clarity I do not want to regret my decision later. I wonder if financial stability should be the priority.,Emotional Counseling Needed
I recently had a breakup I am confused about my next step This keeps bothering me every day. I wonder if financial stability should be the priority.,Emotional Counseling Needed
my family needs financial support I am confused between job and studies This keeps bothering me every day. Part of me also considers higher studies seriously.,Job First (Financial Stability)
I recently had a breakup I feel pressure from inside and outside This affects both my confidence and future planning.,Emotional Counseling Needed
"government job security matters to me I feel pressure from my family I need practical advice, not just motivation.",Government Exam Path
I am planning for MTech I want a stable future This keeps bothering me every day. I also think family expectations matter a lot.,Higher Studies First
I want a secure public sector career I want to make the right decision I want clarity because time is moving fast. Part of me also considers higher studies seriously.,Government Exam Path
I want to work and study together I feel pressure from my family This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Balanced Job + Study Plan
I want part-time study with work I want a practical long-term plan I do not want to regret my decision later. I also think family expectations matter a lot.,Balanced Job + Study Plan
I lack confidence in interviews I feel low confidence I do not want to regret my decision later.,Skill Development First
I need internship experience first I want practical career advice This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Skill Development First
I am planning for MTech I am confused between job and studies This keeps bothering me every day. Part of me also considers higher studies seriously.,Higher Studies First
"I need to earn quickly I want to make the right long-term decision I need practical advice, not just motivation. Part of me also considers higher studies seriously.",Job First (Financial Stability)
I am preparing for banking exams I feel pressure from my family This affects both my confidence and future planning.,Government Exam Path
I lack confidence in interviews I am confused about my next step I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Skill Development First
"I feel confused between many career options I am confused about my next step I need practical advice, not just motivation. I also think family expectations matter a lot.",Career Guidance Needed
"I am planning for MTech I am confused between job and studies I need practical advice, not just motivation. Part of me also considers higher studies seriously.",Higher Studies First
"I feel mentally exhausted I am confused about my next step I need practical advice, not just motivation.",Emotional Counseling Needed
I want to prepare for CAT I feel pressure from my family I do not want to regret my decision later. I wonder if financial stability should be the priority.,Higher Studies First
I feel lost about my future I want clarity before deciding I want clarity because time is moving fast. I also think family expectations matter a lot.,Career Guidance Needed
I feel lost about my future I feel low confidence I want clarity because time is moving fast. I also think family expectations matter a lot.,Career Guidance Needed
my parents want me to prepare for UPSC I am confused about my next step I do not want to regret my decision later.,Government Exam Path
expenses at home are increasing I want to make the right long-term decision I do not want to regret my decision later.,Job First (Financial Stability)
there is loan pressure at home I feel pressure from my family This keeps bothering me every day. Sometimes I think skill improvement should come first.,Job First (Financial Stability)
I am considering SSC preparation I want a stable future This affects both my confidence and future planning. I also think family expectations matter a lot.,Government Exam Path
I want better career growth through education I want a stable future This affects both my confidence and future planning. Sometimes I think skill improvement should come first.,Higher Studies First
"I am considering SSC preparation I want to make the right decision I need practical advice, not just motivation. Sometimes I think skill improvement should come first.",Government Exam Path
my coding skills are weak I want a stable future This keeps bothering me every day.,Skill Development First
I lack confidence in interviews I want practical career advice I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Skill Development First
I cannot focus because of stress I feel low confidence This keeps bothering me every day. Sometimes I think skill improvement should come first.,Emotional Counseling Needed
"I need both income and higher studies I want a practical long-term plan I need practical advice, not just motivation. I also think family expectations matter a lot.",Balanced Job + Study Plan
I feel mentally exhausted I want mental clarity I do not want to regret my decision later.,Emotional Counseling Needed
everyone gives me different advice I am confused about my next step I do not want to regret my decision later.,Career Guidance Needed
I am preparing for banking exams I want a stable future I do not want to regret my decision later.,Government Exam Path
"I want to work and study together I feel pressure from my family I need practical advice, not just motivation. I wonder if financial stability should be the priority.",Balanced Job + Study Plan
"I feel confused between many career options I want clarity before deciding I need practical advice, not just motivation. I wonder if financial stability should be the priority.",Career Guidance Needed
I want a job while preparing for CAT I am confused between job and studies This affects both my confidence and future planning. Part of me also considers higher studies seriously.,Balanced Job + Study Plan
my coding skills are weak I want a stable future I want clarity because time is moving fast.,Skill Development First
I want a secure public sector career I want a stable future I do not want to regret my decision later. Part of me also considers higher studies seriously.,Government Exam Path
government job security matters to me I feel pressure from my family This keeps bothering me every day. Sometimes I think skill improvement should come first.,Government Exam Path
government job security matters to me I want to make the right decision I want clarity because time is moving fast. Part of me also considers higher studies seriously.,Government Exam Path
there is loan pressure at home I am confused between job and studies I want clarity because time is moving fast. Part of me also considers higher studies seriously.,Job First (Financial Stability)
I lack confidence in interviews I feel low confidence I want clarity because time is moving fast.,Skill Development First
my parents want me to prepare for UPSC I want a stable future I do not want to regret my decision later. I wonder if financial stability should be the priority.,Government Exam Path
my family needs financial support I want to make the right long-term decision This keeps bothering me every day. Sometimes I think skill improvement should come first.,Job First (Financial Stability)
I recently had a breakup I feel pressure from inside and outside This keeps bothering me every day. I wonder if financial stability should be the priority.,Emotional Counseling Needed
I recently had a breakup I want mental clarity This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Emotional Counseling Needed
I have no clear direction I feel low confidence This keeps bothering me every day. I also think family expectations matter a lot.,Career Guidance Needed
I feel confused between many career options I want a stable future I want clarity because time is moving fast.,Career Guidance Needed
I want to work and study together I am confused between job and studies I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Balanced Job + Study Plan
I need both income and higher studies I want a practical long-term plan This affects both my confidence and future planning. Sometimes I think skill improvement should come first.,Balanced Job + Study Plan
I need to earn quickly I am confused between job and studies This affects both my confidence and future planning. I also think family expectations matter a lot.,Job First (Financial Stability)
I feel lost about my future I am confused about my next step This keeps bothering me every day. I wonder if financial stability should be the priority.,Career Guidance Needed
I feel lost about my future I feel low confidence This keeps bothering me every day. Part of me also considers higher studies seriously.,Career Guidance Needed
everyone gives me different advice I am confused about my next step I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Career Guidance Needed
I do not know what I should do in life I feel low confidence I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Career Guidance Needed
"I am preparing for banking exams I want a stable future I need practical advice, not just motivation. I also think family expectations matter a lot.",Government Exam Path
I recently had a breakup I feel pressure from inside and outside This affects both my confidence and future planning. Part of me also considers higher studies seriously.,Emotional Counseling Needed
I feel mentally exhausted I want mental clarity This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Emotional Counseling Needed
I recently had a breakup I feel low confidence I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Emotional Counseling Needed
I want a secure public sector career I want to make the right decision I do not want to regret my decision later. I also think family expectations matter a lot.,Government Exam Path
I want better career growth through education I feel pressure from my family This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Higher Studies First
my family needs financial support I want a stable future This affects both my confidence and future planning. I also think family expectations matter a lot.,Job First (Financial Stability)
I want better career growth through education I am confused between job and studies This keeps bothering me every day. Sometimes I think skill improvement should come first.,Higher Studies First
I feel emotionally drained I am confused about my next step This affects both my confidence and future planning. Sometimes I think skill improvement should come first.,Emotional Counseling Needed
"my communication skills need improvement I am confused about my next step I need practical advice, not just motivation. Part of me also considers higher studies seriously.",Skill Development First
"everyone gives me different advice I am confused about my next step I need practical advice, not just motivation. I wonder if financial stability should be the priority.",Career Guidance Needed
"I am preparing for banking exams I am confused about my next step I need practical advice, not just motivation. I wonder if financial stability should be the priority.",Government Exam Path
I need internship experience first I feel low confidence This keeps bothering me every day. I wonder if financial stability should be the priority.,Skill Development First
I need internship experience first I want a stable future This affects both my confidence and future planning. I also think family expectations matter a lot.,Skill Development First
I want part-time study with work I want a practical long-term plan I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Balanced Job + Study Plan
my communication skills need improvement I want practical career advice I do not want to regret my decision later. Sometimes I think skill improvement should come first.,Skill Development First
higher studies feel important for my future I am confused between job and studies This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Higher Studies First
"I feel lost about my future I want a stable future I need practical advice, not just motivation. Part of me also considers higher studies seriously.",Career Guidance Needed
I want to pursue MBA I want to make the right long-term decision This affects both my confidence and future planning. Sometimes I think skill improvement should come first.,Higher Studies First
I need internship experience first I want a stable future I want clarity because time is moving fast. Part of me also considers higher studies seriously.,Skill Development First
I am considering SSC preparation I want a stable future I want clarity because time is moving fast. I also think family expectations matter a lot.,Government Exam Path
my communication skills need improvement I want practical career advice I want clarity because time is moving fast. Sometimes I think skill improvement should come first.,Skill Development First
there is loan pressure at home I feel pressure from my family This keeps bothering me every day.,Job First (Financial Stability)
higher studies feel important for my future I feel pressure from my family This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Higher Studies First
I am planning for MTech I am confused between job and studies This affects both my confidence and future planning.,Higher Studies First
my father lost his job I want a stable future I do not want to regret my decision later.,Job First (Financial Stability)
"I want to prepare for CAT I feel pressure from my family I need practical advice, not just motivation. Part of me also considers higher studies seriously.",Higher Studies First
anxiety is affecting my studies I feel low confidence I do not want to regret my decision later.,Emotional Counseling Needed
my coding skills are weak I feel low confidence This keeps bothering me every day. I wonder if financial stability should be the priority.,Skill Development First
"I lack confidence in interviews I am confused about my next step I need practical advice, not just motivation. I also think family expectations matter a lot.",Skill Development First
I need both income and higher studies I want a stable future I do not want to regret my decision later.,Balanced Job + Study Plan
I want to pursue MBA I want to make the right long-term decision This keeps bothering me every day. I also think family expectations matter a lot.,Higher Studies First
"I feel lost about my future I feel low confidence I need practical advice, not just motivation.",Career Guidance Needed
I need internship experience first I want a stable future This keeps bothering me every day.,Skill Development First
I am considering SSC preparation I feel pressure from my family I do not want to regret my decision later. Part of me also considers higher studies seriously.,Government Exam Path
I do not know what I should do in life I want clarity before deciding I want clarity because time is moving fast. I also think family expectations matter a lot.,Career Guidance Needed
my coding skills are weak I want practical career advice This keeps bothering me every day. Sometimes I think skill improvement should come first.,Skill Development First
expenses at home are increasing I am confused between job and studies I do not want to regret my decision later. Part of me also considers higher studies seriously.,Job First (Financial Stability)
I am planning for MTech I am confused between job and studies This affects both my confidence and future planning. I wonder if financial stability should be the priority.,Higher Studies First
my coding skills are weak I feel low confidence I want clarity because time is moving fast. I wonder if financial stability should be the priority.,Skill Development First
anxiety is affecting my studies I feel pressure from inside and outside This affects both my confidence and future planning. Sometimes I think skill improvement should come first.,Emotional Counseling Needed
I want a secure public sector career I feel pressure from my family I do not want to regret my decision later. I also think family expectations matter a lot.,Government Exam Path
higher studies feel important for my future I want a stable future This affects both my confidence and future planning. I also think family expectations matter a lot.,Higher Studies First
I lack confidence in interviews I want practical career advice I want clarity because time is moving fast. I also think family expectations matter a lot.,Skill Development First
I am preparing for banking exams I am confused about my next step This keeps bothering me every day.,Government Exam Path
my family needs financial support I am confused between job and studies I do not want to regret my decision later. Part of me also considers higher studies seriously.,Job First (Financial Stability)
