input_text,target_label,target_output
"I feel pressured by study routine problems, even with practical career planning, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle academic stress, even with relationship stress, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with lack of focus, even with supporting parents, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing semester workload, even with advanced knowledge goals, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with project submission stress, even with short term work and long term study, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of preparation anxiety, even with constant overthinking, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is exam pressure, even with family financial pressure, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about assignment deadlines, even with masters preparation, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by poor concentration, even with part time work with learning, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle low grades, even with anxiety and confusion, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with study routine problems, even with loan repayment stress, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing academic stress, even with competitive exam plans, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with lack of focus, even with financial stability with masters, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of semester workload, even with emotional burnout, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is project submission stress, even with family dependency, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about preparation anxiety, even with study abroad plans, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by exam pressure, even with work and exam balance, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle assignment deadlines, even with low confidence, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with poor concentration, even with rent and living costs, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing low grades, even with long term learning, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with study routine problems, even with practical career planning, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of academic stress, even with relationship stress, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is lack of focus, even with supporting parents, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about semester workload, even with advanced knowledge goals, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by project submission stress, even with short term work and long term study, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle preparation anxiety, even with constant overthinking, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with exam pressure, even with family financial pressure, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing assignment deadlines, even with masters preparation, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with poor concentration, even with part time work with learning, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of low grades, even with anxiety and confusion, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is study routine problems, even with loan repayment stress, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about academic stress, even with competitive exam plans, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by lack of focus, even with financial stability with masters, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle semester workload, even with emotional burnout, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with project submission stress, even with family dependency, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing preparation anxiety, even with study abroad plans, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with exam pressure, even with work and exam balance, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of assignment deadlines, even with low confidence, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is poor concentration, even with rent and living costs, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about low grades, even with long term learning, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by study routine problems, even with practical career planning, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle academic stress, even with relationship stress, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with lack of focus, even with supporting parents, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing semester workload, even with advanced knowledge goals, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with project submission stress, even with short term work and long term study, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of preparation anxiety, even with constant overthinking, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is exam pressure, even with family financial pressure, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about assignment deadlines, even with masters preparation, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by poor concentration, even with part time work with learning, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle low grades, even with anxiety and confusion, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with study routine problems, even with loan repayment stress, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing academic stress, even with competitive exam plans, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with lack of focus, even with financial stability with masters, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of semester workload, even with emotional burnout, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is project submission stress, even with family dependency, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about preparation anxiety, even with study abroad plans, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by exam pressure, even with work and exam balance, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle assignment deadlines, even with low confidence, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with poor concentration, even with rent and living costs, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing low grades, even with long term learning, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with study routine problems, even with practical career planning, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of academic stress, even with relationship stress, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is lack of focus, even with supporting parents, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about semester workload, even with advanced knowledge goals, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by project submission stress, even with short term work and long term study, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle preparation anxiety, even with constant overthinking, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with exam pressure, even with family financial pressure, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing assignment deadlines, even with masters preparation, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with poor concentration, even with part time work with learning, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of low grades, even with anxiety and confusion, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is study routine problems, even with loan repayment stress, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about academic stress, even with competitive exam plans, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by lack of focus, even with financial stability with masters, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle semester workload, even with emotional burnout, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with project submission stress, even with family dependency, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing preparation anxiety, even with study abroad plans, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with exam pressure, even with work and exam balance, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of assignment deadlines, even with low confidence, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is poor concentration, even with rent and living costs, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about low grades, even with long term learning, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by study routine problems, even with practical career planning, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle academic stress, even with relationship stress, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with lack of focus, even with supporting parents, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing semester workload, even with advanced knowledge goals, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with project submission stress, even with short term work and long term study, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of preparation anxiety, even with constant overthinking, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is exam pressure, even with family financial pressure, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about assignment deadlines, even with masters preparation, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by poor concentration, even with part time work with learning, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle low grades, even with anxiety and confusion, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with study routine problems, even with loan repayment stress, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing academic stress, even with competitive exam plans, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with lack of focus, even with financial stability with masters, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of semester workload, even with emotional burnout, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is project submission stress, even with family dependency, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about preparation anxiety, even with study abroad plans, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by exam pressure, even with work and exam balance, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle assignment deadlines, even with low confidence, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with poor concentration, even with rent and living costs, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing low grades, even with long term learning, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with study routine problems, even with practical career planning, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of academic stress, even with relationship stress, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is lack of focus, even with supporting parents, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about semester workload, even with advanced knowledge goals, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by project submission stress, even with short term work and long term study, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle preparation anxiety, even with constant overthinking, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with exam pressure, even with family financial pressure, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing assignment deadlines, even with masters preparation, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with poor concentration, even with part time work with learning, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of low grades, even with anxiety and confusion, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is study routine problems, even with loan repayment stress, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about academic stress, even with competitive exam plans, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by lack of focus, even with financial stability with masters, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle semester workload, even with emotional burnout, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with project submission stress, even with family dependency, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing preparation anxiety, even with study abroad plans, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with exam pressure, even with work and exam balance, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of assignment deadlines, even with low confidence, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is poor concentration, even with rent and living costs, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about low grades, even with long term learning, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by study routine problems, even with practical career planning, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle academic stress, even with relationship stress, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with lack of focus, even with supporting parents, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing semester workload, even with advanced knowledge goals, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with project submission stress, even with short term work and long term study, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of preparation anxiety, even with constant overthinking, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is exam pressure, even with family financial pressure, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about assignment deadlines, even with masters preparation, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel pressured by poor concentration, even with part time work with learning, I think studies should remain my first priority, and it is reducing my motivation every day ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am trying to handle low grades, even with anxiety and confusion, I think studies should remain my first priority, and I need better clarity before moving forward ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am dealing with study routine problems, even with loan repayment stress, I think studies should remain my first priority, and it is affecting my confidence ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"Recently I have been facing academic stress, even with competitive exam plans, I think studies should remain my first priority, and I cannot decide what to do next ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"These days I am struggling with lack of focus, even with financial stability with masters, I think studies should remain my first priority, which is disturbing my peace of mind ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I feel stuck because of semester workload, even with emotional burnout, I think studies should remain my first priority, and my family expects quick decisions ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"My current problem is project submission stress, even with family dependency, I think studies should remain my first priority, and I want a practical long term solution ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
"I am worried about preparation anxiety, even with study abroad plans, I think studies should remain my first priority, while I am worried about my future stability ",Study First,Prioritizing studies first may help improve academic performance and reduce stress before making major career decisions.
